issuekey,storypoint,context,codesnippet,Bug,Epic,Improvement,New Feature,Story,Sub-task,Technical task,Android,BlackBerry,CLI,Code Processor,Core,Drillbit,Hyperloop,LiveView,MobileWeb,Release,TiAPI,Tooling,Windows,iOS
TIMOB-6463,0.0,"iOS:JavaScript Object is incorrectly garbage collected. Javescript object has been incorrectly garbage collected in some case.

h4. Repro Steps.
1. Build a project based on the following code snippet and run the project.
2. Touch the first row textfield then continuously click the ""next"" buttons on the keyboardToolbar for more than 4 times.

Expected Result: You should be able to move the focus to the next textfield by clicking the ""next"" button.
Actual Result: The buttons on the toolbar get frozen and you can not switch the focus.

","<code>
Titanium.UI.setBackgroundColor('#000');
var datasource=[],textFieldArray=[],table,rowId=1,textFieldId= 0;
var win1 = Titanium.UI.createWindow({
	title:'Window',
	barColor:'#808080',

});

var scrollView = Ti.UI.createScrollView({
	top:0,
	bottom:0,
	right:0,
	left:0,
	contentWidth:320,
	contentHeight:'auto',
	layout:'vertical',
	backgroundColor:'#fff'
});

for (i = 0; i &lt;=12; i++) {
	var row = createRows(rowId);
	scrollView.add(row);
	rowId++;
}

win1.add(scrollView);

function createRows(_rowId) {

	var flexSpace = Titanium.UI.createButton({
		systemButton:Titanium.UI.iPhone.SystemButton.FLEXIBLE_SPACE
	});

	var navButtons = Titanium.UI.createButtonBar({
		labels:['Previous','Next'],
		backgroundColor:'#000',
		top:100,
		style:Titanium.UI.iPhone.SystemButtonStyle.BAR,
		height:25,
		width:'auto'
	});
	var done = Titanium.UI.createButton({
		systemButton:Titanium.UI.iPhone.SystemButton.DONE
	});
	var inputTextField = Titanium.UI.createTextField({
		color : '#ff7c00',
		top : 5,
		height : 50,
		textAlign : 'right',
		width : '25%',
		hintText : '',
		left : '65%',
		right : '8%',
		keyboardToolbar : [navButtons,flexSpace,done],
		keyboardToolbarColor : '#898989',
		returnKeyType : Titanium.UI.RETURNKEY_DEFAULT,
		borderStyle : Titanium.UI.INPUT_BORDERSTYLE_ROUNDED,
		keyboardType : Titanium.UI.KEYBOARD_NUMBER_PAD,
		font : {
			fontSize : 20,
			fontColor : '#ff7c00',
			fontWeight : 'bold',
			fontFamily : 'Helvetica Neue'
		}
	});
	inputTextField.rowId=_rowId;
	textFieldId = textFieldId + 1;
	inputTextField.id = textFieldId;
	textFieldArray.push(inputTextField);
	//prevent inputTextField from being GCed due to a bug.
	// inputTextField.addEventListener(
	// 'blur', function(e) {
	// });
	navButtons.addEventListener('click', function(e) {
		max = textFieldArray.length;

		if(e.index ===0) { /*Prev Tab*/

			if(	inputTextField.id ===1) {
				done.fireEvent('click');
			} else {
				var rowIndex=inputTextField.rowId-1;
				Ti.API.info(""change focus of row: ""+ rowIndex );
				changeFocus(rowIndex,0,textFieldArray);
			}
		} else { /*Next Tab*/
			if(inputTextField.id === max) {
				done.fireEvent('click');
			} else {
				var rowIndex=inputTextField.rowId + 1;
				Ti.API.info(""change focus of row: ""+ rowIndex );
				changeFocus(rowIndex,1,textFieldArray) ;
			}
		}

	});
	done.addEventListener('click', function() {
		for(i=0,j=textFieldArray.length;i<j;i++) ""="""" +="""" <code="""" _rowindex);="""" changefocus(_rowindex,_flag,textfieldarray)="""" function="""" id="""" inputtextfield;="""" is:="""" return="""" table.scrolltoindex(_rowindex);="""" textfield=""textFieldArray[i];"" textfield.blur();="""" textfieldarray[_rowindex-1].focus();="""" ti.api.info(""focus="""" var="""" win1.open();="""" {="""" }="""" });="""" };="""">

h4. Workaround Method
Define an empty callback function in the ""blur"" eventlistener to prevent the inputTextField from being GCed.</j;i++)></code>",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TIMOB-6666,3.0,"Android: Allow users to specify ""Default.jpg"" in place of ""Default.png""  h6.Feature request
Establish the way to choose which image format should be used as splash image. 

i.e. Use JPEG image rather than PNG image.

h6.Associated HD ticket
APP-493615",,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
TIMOB-7143,0.5,"Android: KitchenSink - Platform > Sockets > Connecting Socket - Connect without setting field causes crash In KitchenSink, Platform &gt; Sockets &gt; Connecting Socket, pressing Connect when the module first loads causes crash.

This is not a new behavior, and is a general Android issue.

Steps to Reproduce:

1. Launch KitchenSink.
2. Run Platform &gt; Sockets &gt; Connecting Socket.
3. Press 'Connect'.

Expected Result:

Runtime error.

Actual Result:

Crash.",,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TIMOB-7152,1.0,"iOS: Memory Leak: Objects created in a Ti.UI.tabGroup are not released when the tabGroup is closed h3. Problem

Objects created in a Ti.UI.tabGroup are not released when the tabGroup is closed.

h3. Reproducible steps:
 
1. Run the code below.
2. Use the instruments application to monitor the memory
3. Click on Open tabgroup button
4. Click on close button

Please see TiUITabproxy on the category. It is never released from the memory.


h3. Expected behavior:
Customer wants to release the memory of a tab.

h3. Tested with the next specs:

Simulator

iPhone 4
Version of the device: 5.0.1

Titanium Studio, build: 1.0.8.201112291658
Titanium SDK: 1.8.0.1 

h3.More info:
Please see the video attached.

h3. Code:
{Code}
function createTabGroup() 
{
	var colors = ['#ff9966', '#99ff66', '#6699ff', '#66ffff', '#ffff66'];

	function openWindowOnStack(i) 
	{
		var win = Ti.UI.createWindow(
		{
			title : 'Window ' + i,
			backgroundColor : colors[i]
		});
		
		win.addEventListener('open', function(evt) 
		{
			Ti.API.info('Opened: ' + evt.source.title);
			if(i &lt; 4) 
			{
				setTimeout(function() 
				{
					openWindowOnStack(i + 1);
				}, 500);
			}
		});
		
		win.addEventListener('close', function(evt) 
		{
			Ti.API.info('Closed: ' + evt.source.title);
			trackClosedWindow(tab1, evt.source);
		});
		
		openInTab(tab1, win);
	}

	var navButton = Ti.UI.createButton(
	{
		title : 'Open Windows'
	});

	var outer = Ti.UI.createWindow(
	{
		title : 'Root Window',
		backgroundColor : '#d0d0d0',
		rightNavButton : navButton
	});

	outer.rightNavButton.addEventListener('click', function() 
	{
		openWindowOnStack(0);
	});
	
	function trackClosedWindow(thistab, window) 
	{
		var windows = thistab.windows || [];
		
		for(var w = windows.length - 1; w &gt;= 0; w--) 
		{
			if(windows[w] == window) 
			{
				windows[w] = null;
				windows.splice(w, 1);
				break;
			}
		}
		
		thistab.windows = windows;
	}

	function closeAllInTab(thistab) 
	{
		var windows = thistab.windows || [];
		
		for(var w = 0; w &lt; windows.length; w++) 
		{
			windows[w].close();
			windows[w] = null;
		}
		
		thistab.windows = windows = [];
	}

	function openInTab(thistab, window) 
	{
		var windows = thistab.windows || [];
		windows.push(window);
		thistab.open(window);
		thistab.windows = windows;
	}

	var tabGroup = Ti.UI.createTabGroup();
	
	var tab1 = Ti.UI.createTab(
	{
		window : outer,
		title : 'Touch Me'
	});
	
	tabGroup.addTab(tab1);

	var button2 = Ti.UI.createButton(
	{
		title : 'close',
		height : 35,
		width : 200
	});
	
	outer.add(button2);
	
	button2.addEventListener('click', function(e) 
	{

		outer.remove(button2);
		outer.rightNavButton = null;
		button2 = null;
		navButton = null;

		closeAllInTab(tab1);
		tabGroup.removeTab(tab1);
		tab1.window = null;
		tab1 = null;

		tabGroup.tabs = null;
		tabGroup.close();
		tabGroup = null;

		outer.close();
		outer = null;

		Ti.API.info('Closed tab group');
	});
	
	return tabGroup;

}

var win1 = Ti.UI.createWindow(
{
	backgroundColor : '#fff',
	title : ""Home""
});

var button1 = Ti.UI.createButton(
{
	title : 'Open tabgroup',
	height : 35,
	width : 200
});

button1.addEventListener('click', function(e) 
{
	var tabGroup1 = createTabGroup();
	tabGroup1.open();
	Ti.API.info('Opened tab group');
});

win1.add(button1);

win1.open();

{Code}

h3. Helpdesk
APP-443889
           
",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TIMOB-7233,3.0,"Android: evalJS and evalFile methods deprecated in TiContext h3.Issue
One of the General changes while porting modules to our current SDK 1.8.0.1 was remove TiContext.

h6.Customer's remarks
Inside my Android module, I have to execute some JavaScript statements in the current context. I was using TiContext to do that in pre-1.8.0.1 versions of SDK. Since TiContext is deprecated where in 1.8.0.1 Android module SDK can I find evalJS() and evalFile() methods?

h6.General changes
{noformat}
    TiContext is being replaced, and any implementation utilizing TiContext will take a performance / stability hit compared to using the desired API's directly.
    In most of the places where TiContext is used as an argument, the TiContext argument can be removed entirely or replaced with an Activity reference.
{noformat}

h6.evalJS and evalFile methods migrated
{code:title=TiContext.java}
	public Object evalFile(String filename)
		throws IOException
	{
		return evalFile(filename, null, -1);
	}

	public Object evalJS(String src)
	{
		if (krollBridge == null)
		{
			Log.e(LCAT,""on evalJS, evaluator is null and shouldn't be"");
		}
		return krollBridge.evalJS(src);
	}
","<code>

h6.References
https://wiki.appcelerator.org/display/guides/Android+Module+Porting+Guide+for+1.8.0.1
</code>",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TIMOB-7334,0.5,"iOS: EXC_BAD_ACCESS (SIGSEGV) crash while parsing xml EXC_BAD_ACCESS (SIGSEGV) crash while parsing xml.

Occurs 1 times out of 10.

Steps to Reproduce:

1. Create new project.
2. Replace app.js with attached app.js.
3. Run app.
4. Press 'load' until app crashes.

Expected Result:

App should not crash.

Actual Result:

App crashes. Crash logs attached.",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TIMOB-7365,0.5,"Android: Ti.Media.AudioPlayer.getUrl not exposed as method Both getUrl, setUrl work on iOS, but only setUrl works on Android. I believe this is just a typo,
note missing @Kroll.method annotation:


    @Kroll.getProperty
    public String getUrl() {
        return TiConvert.toString(getProperty(TiC.PROPERTY_URL));
    }
   
    @Kroll.setProperty @Kroll.method
    public void setUrl(String url) {
        if (url != null) {
            setProperty(TiC.PROPERTY_URL, resolveUrl(null, TiConvert.toString(url)));
        }
",,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TIMOB-7393,1.0,"As a developer, I want to be able to pass arbitrary arguments to the Android emulator This is a blocker issue for TISTUD-623.

""When a run/debug configuration is created, we need the ability to pass additional command-line arguments to the android emulator. Specifically, the -scale argument in order to use skins whose full scale causes them to be larger than the screen you are running on. For example, I am using the Motorola MD860 skin for the Atrix 4G whose screen is 960 pixels high. The resulting emulator window is some 1200 pixels high but my screen is only 900 pixels high. If you run the AVD from the AVD Manager, it offers the option to run with a particular screen size which uses the -scale argument. We need the capability to do this in Studio. I would recommend simply adding an extensible option to specify any additional command line arguments. The standard Eclipse launch configurator allows this on the configuration's Target tab but that appears to be disabled in Studio.""

I believe we are not allowed to pass arbitrary arguments to the emulator. I could not find a duplicate issue, but if one exists, please mark this as such.",,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TIMOB-7412,2.0,"Android: V8/Rhino: Animation: Setting animation on a lightweight window makes the window color go transparent Steps To Reproduce:
1. Run the attached code:
","<code> 
Ti.UI.setBackgroundColor('white');

var win = Ti.UI.createWindow({
	backgroundColor: 'black'
});

var fromColor = '#2d6e32';
var toColor = '#35883b';

var v = Ti.UI.createView({
	width: '100dp',
	height: '100dp',
	backgroundColor: fromColor
});

var b = Ti.UI.createButton({
	title: 'Animate',
	bottom: '10dp',
	left: '10dp'
});

b.addEventListener('click', function() {
	v.animate({
		backgroundColor: toColor,
		duration: 500
	});
});

var b1 = Ti.UI.createButton({
	title: 'Reset',
	bottom: '10dp',
	right: '10dp'	
});

b1.addEventListener('click', function() {
	v.backgroundColor = toColor;
	v.backgroundColor = fromColor;
});

var v1 = Ti.UI.createView({
	width : '50dp',
	height: '50dp',
	backgroundColor: 'white'
});

win.add(v);
win.add(b);
win.add(b1);
win.add(v1);

win.open();
<code>
2. Click Animate

Actual Result:
The window background color became transparent

Expected Result:
The window background color should stay black

Note:
Existed in 1.8.0.1 and works in 1.7.5</code></code>",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TIMOB-7424,2.0,"Android: Push Notification: Android 3.0+ is not getting notifications when the application has quit Steps To Reproduce:
1. Run the attached application
2. Launch the application
3. Enable Push
4. Go to UrbanAirship and send a push notification to the APID
5. Force Quit the application
6. Send again

Actual:
The push is not received

Expected:
Should receive the push

Note:
Works on Nexus s (2.3.6)",,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TIMOB-7467,8.0,"iOS: Map Annotation Memory Leak h4. PROBLEM DESCRIPTION
User added and removed annotations from the map, it was releasing the TiMapAnnotationProxy but not the TiMapPinAnnotationView. It kept them ""Living"" and continued to add to their live bytes instead of moving the old ones into ""Transitory"".

h4. ACTUAL BEHAVIOR 
TiMapPinAnnotationView is not being released.

h4. EXPECTED BEHAVIOR
TiMapPinAnnotationView should be released when not needed.

h4. TEST CASE
","<code>
var win = Ti.UI.createWindow({
    title:'Map'
}),
map = Ti.Map.createView({
    region:{
        latitude:36,
        latitudeDelta:5,
        longitude:-93,
        longitudeDelta:5
    },
    toggled:false,
    userLocation:false
}),
toggleAnnos = function(e){
    var lat = 31,
        lng = (e.source.toggled ? -98 : -89),
        annos = [];
    for(i=0;i&lt;10;i++){
        annos.push({latitude:lat,longitude:lng});   
        lat++;
        if(e.source.toggled){
            lng++;
        }else{
            lng--;
        }
    }
    e.source.removeAllAnnotations();
    e.source.addAnnotations(annos);
    e.source.toggled = !e.source.toggled;
};
win.add(map);
win.open();
map.addEventListener('regionChanged',toggleAnnos);
<code>

h4. COMMUNITY DISCUSSION
http://developer.appcelerator.com/question/131291/map-annotation-memory-leak
</code></code>",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TIMOB-7486,0.5,"iOS - on modal window orientation misplaces children h3. The Problem:
When the window changes orientation, if it's modal, it's children end up behind the nav bar.

h3. Code Sample:
","<code>

var win = Ti.UI.createWindow({
	orientationModes:[
		Titanium.UI.PORTRAIT,
		Titanium.UI.UPSIDE_PORTRAIT,
		Titanium.UI.LANDSCAPE_LEFT,
		Titanium.UI.LANDSCAPE_RIGHT
	]
});

var view = Ti.UI.createView({
	backgroundColor:'white'
});

var label = Ti.UI.createLabel({
	top:0,
	height:10,
	text:'lalalalala'
});

view.add(label);

win.add(view);
	
win.open({modal:true});
<code>

h3. To Reproduce:
Run the code above in app.js and rotate the device/simulator

h3. Behavior:

- What happens: View with the label with text ""lalalala"" ends up under the navbar and invisible to the user
- What has to happen: View containing the label has to resize accordingly</code></code>",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TIMOB-7584,3.0,"Android: opening a new window, background color is briefly displayed before objects are added to the screen h2. Problem
When opening a new window, the background color of the new window is displayed for a brief moment and then objects are drawn and added to the screen. This is happening from 1.8.0.1 - it's not reproducible on 1.7.5.
Opening the new window on 1.8.0.1 with V8 is still overall faster than on 1.7.5 (around 4-5 times faster, something around 120ms against 500ms).

h2. Steps to reproduce
The behavior is noticeable especially on the emulator (since is less reactive).

{code:lang=javascript|title=app.js}
var win = Ti.UI.createWindow({
  navBarHidden : true,
  backgroundColor : 'green',
});

function createNewWin() {
  var win2 = Ti.UI.createWindow({
    navBarHidden : true,
    backgroundColor : 'black',
  });

  for( i = 0; i &lt; 20; i++) {
    var view = Ti.UI.createView({
      backgroundColor : 'blue',
    });
    win2.add(view);
  }

  return win2;
}

var button = Ti.UI.createButton({
  title : 'Open New Win',
  width : 150,
  height : 60,
  top : 20
});

win.add(button);

button.addEventListener('click', function() {
  var win3 = createNewWin();
  win3.open();
});

win.open();
","<code>


h2. Link
Ticket related: http://support-admin.appcelerator.com/display/APP-175314</code>",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TIMOB-7586,1.0,"iOS: image saved to filesystem using toImage() loses it's transparency h2. Problem
Saving an image to the filesystem using toImage() method, does not keep the transparent property of the image

h2. Steps to reproduce
See attached code
{code:lang=javascript|title=app.js}
var window = Ti.UI.createWindow({
    backgroundColor:'#ff0'
});

var view = Ti.UI.createImageView({
    image:'KS_nav_ui.png',
// var view = Ti.UI.createView({
    backgroundColor:'transparent',
    borderWidth:2,
    borderColor:'#f00',
    width:100,
    height:100,
    top:10
});

window.add(view);

var image = Ti.Filesystem.getFile(Ti.Filesystem.applicationDataDirectory, 'tst.png');
image.write(view.toImage());

var img = Ti.UI.createImageView({
    width:200,
    height:200,
    bottom:10,
    image:image.nativePath
});

window.add(img);
window.open();
","<code>

h2. Link
Ticket : http://support-admin.appcelerator.com/display/APP-785915</code>",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TIMOB-8346,1.0,"iOS: ""open"" event fires multiple times at startup, plus whenever focused when using NavigationGroup h2.Problem
The ""open"" event of a window fires 3 times when first opened, then whenever the window re-receives focus (when navigating back to it using a NavigationGroup), the ""open"" event fires again.

h2.Expected Result
The ""open"" event should only fire once...when it is first opened, period.  And it should not fire when the window re-receives focus.

h2.Steps to Reproduce
# drop the following app.js code into a new project
# build with SDK 1.8.1
# run in the iPhone simulator.  You will see:
","<code>
[INFO] One moment, building ...
[INFO] Titanium SDK version: 1.8.1 (01/27/12 17:31 a24502a)
[INFO] iPhone Device family: iphone
[INFO] iPhone SDK version: 5.0
[INFO] iPhone simulated device: iphone
[INFO] Launching application in Simulator
[INFO] Launched application in Simulator (3.78 seconds)
[INFO] Found 5.0 patch installed
[INFO] Application started
[INFO] NavGroupFocusTest/1.0 (1.8.1.a24502a)
[INFO] rootWin OPEN fired
[INFO] rootWin OPEN fired
[INFO] rootWin OPEN fired
<code>
# Say to yourself: ""Why did OPEN fire 3 times?!?!?!?!?!""
# click the ""open new window"" button and watch the console log.  You will see:
<code>
[INFO] 2nd wind
<code>
# click the ""back"" button and watch the console log.  You will see:
<code>
[INFO] rootWin FOCUSED
[INFO] rootWin OPEN fired
<code>
# Say to yourself: ""Why did OPEN fire again?!?!?!?!?!""

Repeat steps 5, 6, and 7 and continue to get the same result until you're bored with this game.

h2.Testcase
{code:title=app.js}
var rootWin   = Ti.UI.createWindow();
rootWin.addEventListener('focus', function()
{
  Ti.API.info(""rootWin FOCUSED"");
});

rootWin.addEventListener('open', function()
{
  Ti.API.info(""rootWin OPEN fired"");
});

var btnOpenWin = Ti.UI.createButton({
  title : ""open new window"",
  width : 200,
  height  : 35
});

btnOpenWin.addEventListener('click', function()
{
  var win2 = Ti.UI.createWindow();
  ng.open(win2, {animated:true});
  Ti.API.info(""2nd wind"");
});

rootWin.add(btnOpenWin);

ng = Ti.UI.iPhone.createNavigationGroup({window:rootWin});
var NavBase = Ti.UI.createWindow();
NavBase.add(ng);
NavBase.open(); // this opens the ""root"" window, automatically
<code>


In a larger project, sometimes when you go ""back"" to the main window, no events fire at all (no focus, no open).  I would expect the focus event to fire each time.  Just something to keep in mind while you're looking into the code, as I haven't been successful in reproducing this in a small testcase.
</code></code></code></code></code></code></code>",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TIMOB-7616,0.0,"iOS: Titanium.UI.WebView: iOS5: evalJS causes app freeze and deadlock warning iOS 5.0 apps running SDK 1.9.0 beta freeze with deadlock warning:

[WARN] Timing out waiting on main thread. Possibly a deadlock?  in TiThreadPerformOnMainThread (TiBase.m:213)

Regression. Works in 1.8.1.

Steps to Reproduce:

1. Run WebViewTest project. Attached.

Expected Result:

App should display an alert indicating html javascript function call.

Actual Result:

App freeze with deadlock warning.

Note: Test case exists in titanium_mobile_tests_internal/FeatureTest/WebView/WebViewModule =&gt; TIMOB 4885",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
