issuekey,storypoint,context,codesnippet,Bug,Epic,Improvement,Story,Technical task,Acceptance Testing,Analytics,Batch,CLI,Configuration,DSL,Documentation,Export,Hadoop,Ingest,Packaging,Performance Testing,REST,Runtime,Stream Module,Testing,UI,YARN Runtime
XD-117,1.0,add spring-integration-groovy to container dependencies This will enable the use of groovy scripts within modules.,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
XD-119,1.0,HDFS sink should default to hdfs://localhost:8020 The current default is hdfs://localhost:9000 but most new distributions/installs use 8020,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
XD-122,2.0,"XD scripts need to have spring-integration milestone versions updated Spring-integration version is changed to 3.0.0.M2 and since we manually create the XD scripts, they still point to the 3.0.0.BUILD-SNAPSHOT version.

As discussed, we also need to have a better strategy on updating the lib directory inside the XD scripts.",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
XD-123,3.0,"XD scripts lib path needs to be dynamic We currently have the manually created XD scripts. This makes it difficult to maintain as the lib path is error prone with the changes. We need to make sure that the properties such as lib path etc., are dynamically updated.",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
XD-126,2.0,"Documentation for sources, sinks, modules should define which attributes are required and which optional This will eventually be supplied by the admin server, but for now write it up by hand in the documentation",,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
XD-134,2.0,Investigate link checking tool for user guide Asciidoc/doctor might have one as part of it toolchain,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
XD-136,3.0,Documentation that points on how to install hadoop Pointers to other documentation on how to install hadoop. ,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
XD-139,2.0,"Update README.txt to include instructions on how to build Building XD should not be part of the out first out of the box experience, but we should include some instructions on what targets are available, such as distXD.",,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
XD-140,2.0,"Parameterize syslog Source; Add Support for TCP The syslog source currently is hard-coded to use udp on port 11111.

Need to parameterize the port and provide an option to use TCP.",,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
XD-141,1.0,"install-redis script should not use relative path to determine redis source dist Currently, the install-redis script uses relative path to determine redis source  dist file. Since this is error prone, we need to fix it.",,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
XD-146,0.0,"Change TCP Source/Sink to Use Profiles Currently, the TCP source/sink use specific beans for the serializer/deserializer options; when profiles are available, they should be used to avoid having to declare a bean of each type.",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
XD-147,2.0,Remove use of application plugin for redis project Currently redis project uses application plugin to bundle distribution. This also includes 'java plugin' which causes java specific build behavior on this project. We should try removing the use of application plugin and use something similar or custom tasks that does the bundling. ,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
XD-150,2.0,"Publish Spring XD final distribution zip as part of Bamboo artifactory plugin Currently, Bamboo's gradle artifactory plugin has the artifacts configured to projects target(build) directory 'archives'. We need to have a way to set the final distribution archive as one of the gradle 'configurations' in our build.gradle and refer it inside bamboo artifacts.",,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
XD-152,5.0,Create rich gauge module Spring config for rich gauge plus message handler to coerce a numeric or string payload to a double.,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XD-153,5.0,create a gauge module Spring config for simple gauge plus message handler to process message. There is some code common to RichGaugeHandler to coerce the payload to a double that should be refactored for reuse.,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XD-155,5.0,Add a groovy script processor module A processor module that accepts either the location of a groovy script resource or an inline script (string). Also some discussion about a default classpath location for scripts. ,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
XD-156,2.0,Create config support for Redis We would like to have Redis driven from a config property file under XD_HOME.,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
XD-166,3.0,"Create config support based on channel registry type We need to have the XD container &amp; admin reading the registry specific property based on the registry type selected. 

From Mark F, on one of the code review comments:

Maybe rather than having redis, rabbit, etc. properties all within a container.properties we should rely upon naming conventions instead. Specifically, we could have a single configurable property for the type of channel registry (""redis"", ""rabbit"", or ""local"" being possible values), and then we could use something like:

<import resource=""config/${registry.type}.xml""></import>
<context:property-placeholder location=""config/${registry.type}.properties""></context:property-placeholder>",,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
XD-176,2.0,"Support exponential moving average in RichGauge  This could easily be supported in the existing gauge by adding a setAlpha method to RichGaugeService and adding the extra parameter ""alpha"" to the gauge data (https://en.wikipedia.org/wiki/Exponential_moving_average). If not set it would default to the current behaviour (simple mean), otherwise it would calculate the exponential moving average in place of the mean.",,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XD-178,1.0,DefaultContainer should have a default constructor that generates a UUID The current incrementAndGet approach based off redis will not easily be applicable in local model deployment,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
XD-179,1.0,"Have three startup scripts, xd-singlenode, xd-admin, and xd-container The xd-singlenode script will launch a main application that creates both the admin node (to process http admin requests) and the container node (to execute modules for data processing) within in the same process 

the xd-admin script will launch a main application that creates only the admin node (remove current embeddedContainer options)

the xd-container script will launch a main application that creates only the container node (as it is now)",,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
XD-182,3.0,Create redisProtocol.xml that will load all the Redis specific implementations to suppor the XD container runtime and administration The redis specific beans that are defined in the current launcher.xml should move into this configuration file.   ,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
XD-185,2.0,Refactor StreamServer to an interface and create Redis and Local implementations The current StreamServer depends on RedisStreamDeployer. Call this RedisStreamServer and extract interface to allow alternate implementations,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
XD-186,2.0,Create a pipe protocol independent StreamDeployer Create StreamDeployer that does not depend on an adapter implementation,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
XD-187,2.0,"Create XD script for xd-single node This script will launch XD admin along with the module container.

As part of this implementation, we will also remove the embedded options for XD admin &amp; container scripts.",,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
XD-190,1.0,"Cleanup embedded container story The --embeddedX options are a bit confusing in code right now, as the Admin can embed the Container and vice-versa.
I guess we should only keep the Admin&gt;Container side of things.",,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
XD-192,2.0,"Update getting started documentation to use xd-singlenode start script. With the new option of starting without requiring redis, the getting started documentation should reflect this easier way to start processing data.",,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
XD-193,3.0,"Need more unique resource locations for XD internal configuration Currently internal config files are in META-INF/spring with fairly generic names. To avoid potential collisions if users add their own configuration in the classpath, we should have a more unique location, e.g. META-INF/spring/xd",,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
XD-201,2.0,Fix XD scripts on windows Currently the XD scripts are broken in windows. ,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
XD-210,1.0,"If output directory does not exist for a file sink, by default allow it to be created There shouldn't be a need to do a mkdir -p before sending data to a file sink.",,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
XD-212,2.0,"Add http port command line option to AdminMain Currently StreamServer has setPort, but no way for end user to set it. ",,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
XD-214,3.0,Create documentation on the general DSL syntax The asciidoc wiki should have a section (included in the _Sidebar.asciidoc as well) that describes the general usage of the DSL syntax.,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
XD-215,1.0,"Add authentication information to twittersearch source doc Since the changes for XD-202, twittersearch requires authentication. Need to update the docs to reflect this.",,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
XD-222,1.0,Add docs for Deleting a simple stream. curl -X DELETE http://localhost:8080/streams/ticktock,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
XD-226,2.0,"Cleanup and Optimize gradle tasks to bundle spring-xd distribution We need to cleanup some of the duplicate gradle tasks that bundle spring-xd distributions. 

Currently, distXD does the copy of distributions from ""spring-xd-dirt"", ""redis"" and ""spring-xd-gemfire-server"" projects into ""$rootDir/dist/spring-xd"".

And, the task ""zipXD"" makes the zip archive.

These tasks should be combined with the ""distZip"" &amp; ""docZip"" tasks.

We also need to remove the duplicate artifacts configuration from these tasks.",,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
XD-227,1.0,Add jetty-util-6.1.26.jar and jsr311-api-1.1.1.jar as required jars so they will be on the XD classpath This is needed for the use of the webhdfs:// scheme to talk to HDFS over http.,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
XD-228,1.0,"Missing '=' in example of http stream In documentation attached to M1, in Streams/Introduction section, there's
{noformat}
http --port 8091 | file --dir=/tmp/httpdata/
{noformat}
while it should be:
{noformat}
http --port=8091 | file --dir=/tmp/httpdata/
{noformat}
missing ""{{=}}"" in {{http}}",,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
XD-247,2.0,Need to be able to specify password for Redis Running on Cloud Foundry (and other managed environments) we need to be able to specify a Redis password in addition to host and port.,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
XD-272,0.0,"A rotation file policy based on time A strategy that will automaticaly roll over files based time of day.

For example

New files will be created every hour, or every 6 hours etc.

The directory for files can also be rotated so that directory structures such as

/data/{year}/{month}/{day}

can easily be supported with a minimum of configuration.

",,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
XD-273,0.0,"File name should support common date and time format strings The file name should allow the use of date and time patterns, either JDK or Joda (TBD).",,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
XD-274,0.0,"Headers in a Message that will indicate which HDFS file the data should be stored in. Based on message processing, a header in a Message can be added that contains the output file name.  This will work together with the hdfs writer module so it can read the header and write the contents of the message to the specified file. ",,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
XD-275,0.0,"Support for in-memory grouping/aggregation of data before writing to HDFS This should be an optimization, to be verified, that aggregating data in memory, for example at the size of a HDFS block (64Mb often) will result in increased performance vs. not aggregating data for writes.",,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
XD-287,0.0,Support writing to HDFS using Protocol Buffers See https://github.com/kevinweil/elephant-bird,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
XD-288,0.0,Support writing to HDFS using Thrift See https://github.com/kevinweil/elephant-bird,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
XD-290,2.0,"Redis backed container's RedisQueueInboundChannelAdapter is not performant Currently, the RedisQueueInboundChannelAdapter has blocking operation when pulling the messages out of redis queue and this is not performant. 

There are few ideas from the discussion to make it better:

1) Get more items from the redis queue per connection
2) We will also have compression of messages(at the channel registry) before being sent to the redis queue 

We also need to investigate what redis connection strategy makes the RedisQueueInboundAdapter better. ",,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
XD-291,1.0,"HTTP Source still listens on port 9000 after removal. Steps to reproduce:

1.  curl -d ""http | log"" http://localhost:8080/streams/testHttp

2.  curl -X DELETE http://localhost:8080/streams/testHttp

3.  curl -d ""http | log"" http://localhost:8080/streams/testHttp

org.jboss.netty.channel.ChannelException: Failed to bind to: 0.0.0.0/0.0.0.0:9000",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
XD-296,1.0,"Add log config file to gemfire in final distro The changes for XD-144 mean that log4j files are no longer in the library jars. The admin server already has a logging configuration which should be activated by the startup scripts, but the separate gemfire app doesn't.",,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
XD-316,5.0,"Create a common exception framework for XD Need to capture exceptions from the various projects that make up XD and wrap them in XD Specific exceptions.  An example of this is when leaving out the channels in the module definitions, we see NoSuchBeanExceptions and IllegalArgumentExceptions thrown based on which module and what channel is missing. ",,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XD-341,2.0,Document JMX features Document jmx command line options and refer to jolokia,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
XD-347,2.0,"Investigate Redis connection timeout issues when running performance test With the performance test run, the numbers (messages sent/received per second) keep varying as there are 
""redis client connection timeout exceptions"" (Caused by: org.jboss.netty.channel.ConnectTimeoutException: connection timed out) at both redis inbound/outbound channel adapters as I increase the total number of messages being processed (max. 10K/second).
Some of the exception messages for the review:
1) With connection pool (at Redis outbound):
Caused by: org.springframework.data.redis.connection.PoolException: Could not get a resource from the pool; nested exception is com.lambdaworks.redis.RedisException: Unable to connect
at org.springframework.data.redis.connection.lettuce.DefaultLettucePool.getResource(DefaultLettucePool.java:95)
at org.springframework.data.redis.connection.lettuce.DefaultLettucePool.getResource(DefaultLettucePool.java:36)
at org.springframework.data.redis.connection.lettuce.LettuceConnectionFactory.createLettuceConnector(LettuceConnectionFactory.java:318)
at org.springframework.data.redis.connection.lettuce.LettuceConnectionFactory.getConnection(LettuceConnectionFactory.java:109)
at org.springframework.data.redis.core.RedisConnectionUtils.doGetConnection(RedisConnectionUtils.java:81)
at org.springframework.data.redis.core.RedisConnectionUtils.getConnection(RedisConnectionUtils.java:53)
at org.springframework.data.redis.core.RedisTemplate.execute(RedisTemplate.java:157)
at org.springframework.data.redis.core.RedisTemplate.execute(RedisTemplate.java:137)
at org.springframework.data.redis.core.AbstractOperations.execute(AbstractOperations.java:84)
at org.springframework.data.redis.core.DefaultListOperations.leftPush(DefaultListOperations.java:71)
at org.springframework.data.redis.core.DefaultBoundListOperations.leftPush(DefaultBoundListOperations.java:67)
at org.springframework.xd.perftest.redis.outbound.RedisQOutboundChannelAdapter.handleMessageInternal(RedisQOutboundChannelAdapter.java:71)
at org.springframework.integration.handler.AbstractMessageHandler.handleMessage(AbstractMessageHandler.java:73)
... 17 more
Caused by: com.lambdaworks.redis.RedisException: Unable to connect
at com.lambdaworks.redis.RedisClient.connect(RedisClient.java:176)
at com.lambdaworks.redis.RedisClient.connectAsync(RedisClient.java:139)
at org.springframework.data.redis.connection.lettuce.DefaultLettucePool$LettuceFactory.makeObject(DefaultLettucePool.java:252)
at org.apache.commons.pool.impl.GenericObjectPool.borrowObject(GenericObjectPool.java:1181)
at org.springframework.data.redis.connection.lettuce.DefaultLettucePool.getResource(DefaultLettucePool.java:93)
... 29 more
Caused by: org.jboss.netty.channel.ConnectTimeoutException: connection timed out: localhost/127.0.0.1:6379
at org.jboss.netty.channel.socket.nio.NioClientBoss.processConnectTimeout(NioClientBoss.java:137)
at org.jboss.netty.channel.socket.nio.NioClientBoss.process(NioClientBoss.java:83)
at org.jboss.netty.channel.socket.nio.AbstractNioSelector.run(AbstractNioSelector.java:312)
at org.jboss.netty.channel.socket.nio.NioClientBoss.run(NioClientBoss.java:42)
2) Without connection pool (at Redis inbound):
Caused by: com.lambdaworks.redis.RedisException: Unable to connect
at com.lambdaworks.redis.RedisClient.connect(RedisClient.java:176)
at com.lambdaworks.redis.RedisClient.connectAsync(RedisClient.java:139)
at org.springframework.data.redis.connection.lettuce.LettuceConnectionFactory.createLettuceConnector(LettuceConnectionFactory.java:321)
... 12 more
Caused by: org.jboss.netty.channel.ConnectTimeoutException: connection timed out: localhost/127.0.0.1:6379
at org.jboss.netty.channel.socket.nio.NioClientBoss.processConnectTimeout(NioClientBoss.java:137)
at org.jboss.netty.channel.socket.nio.NioClientBoss.process(NioClientBoss.java:83)
at org.jboss.netty.channel.socket.nio.AbstractNioSelector.run(AbstractNioSelector.java:312)
at org.jboss.netty.channel.socket.nio.NioClientBoss.run(NioClientBoss.java:42)
... 3 more",,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
XD-368,2.0,"Improve connection handling in RedisAggregateCounterService. This is currently too chatty. It should be possible to use a single connection for each ""increment"" operation.",,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XD-398,1.0,"Update Getting Started chapter to use Shell commands instead of curl See http://static.springsource.org/spring-xd/docs/1.0.0.M1/reference/html/#getting-started

",,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
XD-399,1.0,"Update Getting Started chapter to include a section on starting the shell. The chapter on how to start up the shell should ocme right after ""start the runtime"" and before ""create the stream""",,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
XD-400,1.0,"Update Streams Chapter to use shell commands instead of curl the current streams chapter

http://static.springsource.org/spring-xd/docs/1.0.0.M1/reference/html/#streams

shows creation and deleting streams using CURL - switch to use shell.  Also add listing of a stream.

there is also an example of creating a stream, this should be replaced as well.
",,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
XD-401,1.0,"Create a shell command to post data to an http port for use with the http source module the current streams chapter

http://static.springsource.org/spring-xd/docs/1.0.0.M1/reference/html/#streams

shows using curl to post some data to a http source module, 

curl -d ""hello"" http://localhost:9000

create a shell command so curl doesn't have to be used.

https://github.com/SpringSource/rest-shell

has a command already developed for this.",,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
XD-405,1.0,Update Sources tail section to use Shell commands instead of curl http://static.springsource.org/spring-xd/docs/1.0.0.M1/reference/html/#tail,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
XD-406,1.0,"Update Sources twitter search section to use Shell commands instead of curl See 

http://static.springsource.org/spring-xd/docs/1.0.0.M1/reference/html/#twittersearch",,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
XD-409,1.0,"Update Sources TCP section to use Shell commands instead of curl  See 

http://static.springsource.org/spring-xd/docs/1.0.0.M1/reference/html/#tcp",,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
XD-410,1.0,"Update Processors Filter & JSon Filed Value Filter section to use Shell commands instead of curl  See 

http://static.springsource.org/spring-xd/docs/1.0.0.M1/reference/html/#filter
http://static.springsource.org/spring-xd/docs/1.0.0.M1/reference/html/#json-value-filter",,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
XD-411,1.0,"Update Processors Transform section to use Shell commands instead of curl  See 

http://static.springsource.org/spring-xd/docs/1.0.0.M1/reference/html/#transform",,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
XD-412,1.0,"Update Processors JSON Field Extractor section to use Shell commands instead of curl  See 

http://static.springsource.org/spring-xd/docs/1.0.0.M1/reference/html/#json-field-extractor",,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
XD-413,1.0,"Update Processors Script section to use Shell commands instead of curl  See 

http://static.springsource.org/spring-xd/docs/1.0.0.M1/reference/html/#script",,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
XD-414,1.0,"Update Sink's Log section to use Shell commands instead of curl  See 

http://static.springsource.org/spring-xd/docs/1.0.0.M1/reference/html/#log_sinks",,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
XD-415,1.0," Update Sink's File section to use Shell commands instead of curl  See 

http://static.springsource.org/spring-xd/docs/1.0.0.M1/reference/html/#file_sinks",,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
XD-416,1.0,"Update Sink's HDFS section to use Shell commands instead of curl  See 

http://static.springsource.org/spring-xd/docs/1.0.0.M1/reference/html/#hdfs",,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
XD-417,1.0,"Update Sink's TCP section to use Shell commands instead of curl  See 

http://static.springsource.org/spring-xd/docs/1.0.0.M1/reference/html/#tcp_sinks",,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
XD-418,1.0,"Update Sink's GemFire section to use Shell commands instead of curl  See 

http://static.springsource.org/spring-xd/docs/1.0.0.M1/reference/html/#gemfire
",,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
XD-419,2.0,"Taps introduction section should show use of shell to create a real stream and a real tap using the shell See 

http://static.springsource.org/spring-xd/docs/1.0.0.M1/reference/html/#taps

The existing docs should be made to show a real stream being created with filter and/or transformer and then a tap that goes to logging.  

The shell syntax to also stop/undeploy a tap should be shown here as well since the lifecycle is discussed.",,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
XD-429,1.0,"Document time source time source is used in some examples, but it isn't documented explicitly, eg. --interval option in seconds.",,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
