#,impact,delaydays,openeddate,type,discussion,repetition,perofdelay,workload,priority,no_comment,no_priority_change,no_fixversion,no_fixversion_change,no_issuelink,no_blocking,no_blockedby,no_affectversion,reporterrep,no_des_change,topic_10,topic_100,topic_200,topic_300,topic_400
63,Nondelay,0,2004-12-18 00:00:00,Task,16,0,0,8,Major,1,0,1,2,1,1,0,0,0,1,7,3,9,246,289
64,low,4,2004-12-29 00:00:00,Task,104,0,0,100,Major,1,0,0,0,0,0,0,0,0,0,9,25,188,242,328
65,medium,25,2004-12-31 00:00:00,Task,42,1,0,100,Major,2,0,0,0,0,0,0,0,0,0,2,86,150,286,295
66,high,208,2004-12-31 00:00:00,Task,104,0,0,200,Major,0,3,0,0,0,0,0,0,0,0,9,82,186,202,194
67,Nondelay,0,2005-01-01 00:00:00,Feature Request,1,0,0,2,Blocker,2,0,1,0,0,0,0,1,0,0,7,98,193,231,96
68,Nondelay,0,2005-01-05 00:00:00,Bug,1,0,0,8,Critical,0,0,1,0,0,0,0,1,0.5333333333333333,0,8,52,193,177,387
69,medium,61,2005-01-06 00:00:00,Task,178,0,0,1,Critical,3,1,1,1,0,0,0,0,0.49019607843137253,0,10,57,181,248,253
70,high,409,2005-01-14 00:00:00,Task,273,0,50,200,Major,1,3,0,0,1,0,1,0,0,0,6,3,99,228,289
71,medium,49,2005-01-14 00:00:00,Task,118,0,0,17,Major,1,3,1,3,1,0,1,0,0,0,2,3,188,136,289
72,high,183,2005-01-18 00:00:00,Task,709,0,11,7,Major,1,3,1,0,0,0,0,1,0.8,0,3,74,134,234,348
73,low,2,2005-01-20 00:00:00,SubTask,7,1,0,2,Critical,4,0,1,1,0,0,0,1,0,0,2,100,150,222,336
74,medium,15,2005-01-20 00:00:00,SubTask,11,0,0,100,Major,2,0,1,1,0,0,0,1,0,1,2,94,199,295,144
75,low,10,2005-01-20 00:00:00,SubTask,15,0,3,8,Major,1,0,0,0,0,0,0,1,0,1,2,76,136,32,379
76,medium,15,2005-01-20 00:00:00,SubTask,15,0,0,10,Major,3,0,1,1,0,0,0,1,0,1,2,94,136,278,269
77,medium,15,2005-01-20 00:00:00,SubTask,11,0,3,8,Major,1,0,0,0,0,0,0,1,0,1,2,94,167,32,333
78,medium,20,2005-01-20 00:00:00,SubTask,13,0,0,10,Major,2,0,0,0,0,0,0,1,0,1,2,98,136,278,121
79,medium,12,2005-01-23 00:00:00,Task,177,0,0,100,Major,1,0,0,9,0,0,0,0,0.875,1,8,87,99,137,285
80,Nondelay,0,2005-01-26 00:00:00,Task,14,0,0,11,Major,4,0,1,0,0,0,0,1,0.8235294117647058,0,3,88,163,236,328
81,medium,59,2005-01-28 00:00:00,Task,40,0,33,8,Critical,0,3,0,0,0,0,0,0,0.8181818181818182,0,8,85,197,240,391
82,high,149,2005-01-28 00:00:00,Task,182,0,33,8,Major,0,3,0,3,0,0,0,0,0.8181818181818182,0,9,60,193,200,207
83,medium,33,2005-01-28 00:00:00,SubTask,19,0,33,8,Major,2,3,0,0,0,0,0,0,0.8181818181818182,0,7,96,186,299,373
84,high,149,2005-01-28 00:00:00,SubTask,182,0,33,8,Major,0,3,0,3,0,0,0,0,0.8181818181818182,1,9,21,120,274,207
85,Nondelay,0,2005-01-28 00:00:00,Task,13,0,0,13,Major,3,0,1,0,0,0,0,1,0.7368421052631579,0,10,73,55,223,303
86,Nondelay,0,2005-01-28 00:00:00,Task,17,1,0,13,Major,4,0,1,0,0,0,0,1,0.7368421052631579,0,1,93,43,278,364
87,high,166,2005-02-02 00:00:00,Task,88,0,41,15,Minor,0,3,0,0,0,0,0,0,0.8947368421052632,0,8,99,188,282,322
88,high,165,2005-02-04 00:00:00,SubTask,87,0,44,16,Major,0,3,0,0,0,0,0,0,0.9,0,6,28,188,104,294
89,medium,12,2005-02-10 00:00:00,Task,168,0,0,100,Major,1,0,0,9,0,0,0,0,0.7,1,10,87,137,208,166
90,low,6,2005-02-10 00:00:00,SubTask,6,0,33,2,Major,0,0,1,1,0,0,0,1,0.07692307692307693,0,9,88,194,175,335
91,Nondelay,0,2005-02-23 00:00:00,Feature Request,73,0,0,0,Major,2,0,0,0,0,0,0,0,0,0,10,79,183,235,270
92,medium,22,2005-02-23 00:00:00,Task,21,0,47,16,Major,0,0,0,0,0,0,0,0,0.8260869565217391,0,2,61,49,210,263
93,high,201,2005-03-10 00:00:00,Bug,109,0,8,9,Critical,1,3,1,0,1,0,0,1,0.8,0,2,88,163,250,183
94,high,105,2005-03-11 00:00:00,Task,800,0,8,18,Major,1,3,0,0,0,0,0,0,0.2631578947368421,0,9,99,151,248,253
95,high,198,2005-04-03 00:00:00,Feature Request,873,0,0,15,Major,1,3,1,2,2,0,1,0,0,0,1,73,93,147,30
96,high,198,2005-04-04 00:00:00,Feature Request,873,1,5,16,Major,2,3,1,1,2,0,1,0,0,0,1,73,93,147,388
97,Nondelay,0,2005-04-06 00:00:00,Feature Request,64,0,0,1,Major,0,0,1,4,0,0,0,1,0.6363636363636364,0,10,56,177,133,318
98,high,103,2005-04-06 00:00:00,Task,56,0,50,12,Major,0,3,0,0,0,0,0,0,0.8333333333333334,0,8,88,167,286,223
99,Nondelay,0,2005-04-07 00:00:00,Task,37,0,1,10,Major,1,0,1,1,0,0,0,0,0.49206349206349204,9,9,88,181,32,332
100,medium,28,2005-04-07 00:00:00,Feature Request,17,0,0,3,Critical,3,0,1,1,0,0,0,1,0,0,4,62,67,196,346
101,Nondelay,0,2005-04-13 00:00:00,Task,296,0,0,0,Major,1,0,0,0,0,0,0,0,0.7111111111111111,0,4,50,179,294,341
102,Nondelay,0,2005-04-13 00:00:00,Task,10,0,0,0,Major,1,0,1,3,0,0,0,0,0,0,9,82,137,273,364
103,Nondelay,0,2005-04-13 00:00:00,Task,10,0,0,0,Major,2,0,1,3,0,0,0,0,0,0,9,99,121,221,293
104,Nondelay,0,2005-04-13 00:00:00,Task,10,0,9,15,Major,2,0,1,3,0,0,0,0,0,0,10,98,34,99,46
105,Nondelay,0,2005-04-13 00:00:00,Task,10,0,9,15,Major,2,0,1,3,0,0,0,0,0,1,10,29,115,99,392
106,medium,51,2005-04-14 00:00:00,Task,41,0,0,150,Major,3,3,0,0,0,0,0,1,0.6956521739130435,0,6,85,146,236,296
107,medium,32,2005-04-14 00:00:00,Task,32,0,3,12,Major,1,3,1,1,0,0,0,1,0.6956521739130435,3,9,26,188,275,357
108,medium,22,2005-04-14 00:00:00,Feature Request,293,0,0,1,Major,0,0,1,1,0,0,0,0,0.6956521739130435,0,4,90,179,38,270
109,high,354,2005-04-19 00:00:00,Bug,137,1,4,18,Major,0,3,1,2,1,0,1,0,0,1,2,93,184,255,346
110,low,11,2005-04-21 00:00:00,Task,6,0,52,10,Major,2,0,0,0,0,0,0,0,0.84,0,8,96,171,246,255
111,high,89,2005-05-02 00:00:00,Feature Request,57,0,54,11,Major,15,3,1,1,1,0,0,1,0.8461538461538461,2,5,68,182,117,348
112,medium,27,2005-05-03 00:00:00,Task,22,1,0,100,Major,10,0,1,1,2,0,2,1,0.41025641025641024,0,7,95,169,217,327
113,Nondelay,0,2005-05-03 00:00:00,Feature Request,51,0,0,2,Major,0,0,0,3,0,0,0,0,0.8214285714285714,0,8,87,196,292,380
114,medium,27,2005-05-03 00:00:00,Feature Request,40,0,0,100,Major,2,0,1,0,0,0,0,1,0.8214285714285714,0,9,28,62,208,271
115,high,165,2005-05-04 00:00:00,Feature Request,91,0,0,3,Major,3,3,1,2,1,0,0,0,0.7666666666666667,1,8,61,186,249,15
116,Nondelay,0,2005-05-12 00:00:00,Task,2,0,0,0,Major,1,0,0,0,1,0,0,1,0,1,10,17,129,243,283
117,medium,32,2005-05-18 00:00:00,SubTask,7,1,54,12,Major,1,3,1,0,0,0,0,1,0,1,9,11,181,223,359
118,high,74,2005-05-26 00:00:00,Task,38,0,9,17,Major,1,3,1,1,0,0,0,1,0.3,0,5,57,183,289,383
119,high,73,2005-05-26 00:00:00,Task,48,0,0,4,Major,1,3,0,0,0,0,0,1,0.3,0,4,13,179,298,270
120,low,6,2005-06-07 00:00:00,Task,266,0,25,1,Major,0,0,0,0,0,0,0,0,0.6530612244897959,0,6,80,129,228,363
121,Nondelay,0,2005-06-11 00:00:00,Task,1,1,0,0,Major,2,0,1,1,1,0,0,1,0,0,8,96,182,276,41
122,Nondelay,0,2005-06-21 00:00:00,Feature Request,259,0,40,1,Major,1,0,1,0,0,0,0,1,0.64,0,4,66,177,193,216
123,Nondelay,0,2005-07-05 00:00:00,Task,10,0,0,15,Major,1,0,0,0,0,0,0,0,0,0,9,87,183,240,88
124,low,11,2005-07-06 00:00:00,Task,922,0,0,16,Major,1,0,1,0,0,0,0,0,0.5686274509803921,0,9,45,144,258,254
125,low,11,2005-07-21 00:00:00,Task,9,0,0,1,Major,1,0,0,0,0,0,0,0,0,1,10,86,136,272,389
126,high,78,2005-07-26 00:00:00,Feature Request,25,1,100,150,Major,11,3,1,1,0,0,0,1,0.71875,0,9,56,164,147,289
127,high,133,2005-07-26 00:00:00,Feature Request,85,0,0,150,Minor,1,1,0,7,0,0,0,0,0.71875,0,7,87,174,108,262
128,low,1,2005-08-03 00:00:00,Task,908,0,4,7,Major,0,0,1,1,0,0,0,1,0.5,0,6,100,144,206,385
129,low,8,2005-08-11 00:00:00,Bug,4,0,9,9,Blocker,2,0,1,2,0,0,0,1,0,0,9,65,184,185,276
130,high,84,2005-08-11 00:00:00,Task,808,0,0,12,Major,2,3,1,0,3,1,2,0,0.39473684210526316,1,2,45,67,298,132
131,medium,56,2005-08-16 00:00:00,Task,46,0,7,15,Major,0,3,0,0,0,0,0,0,0.5111111111111111,0,8,87,171,183,290
132,high,201,2005-08-16 00:00:00,Feature Request,216,0,0,200,Major,0,3,0,0,0,0,0,0,0.17647058823529413,0,2,96,151,157,377
133,Nondelay,0,2005-09-16 00:00:00,Bug,233,1,7,10,Blocker,4,2,2,3,0,0,0,1,0.488,2,1,46,155,160,376
134,low,1,2005-09-29 00:00:00,Task,3,0,0,23,Minor,1,0,1,0,0,0,0,1,0.4307692307692308,0,9,20,198,271,361
135,Nondelay,0,2005-09-29 00:00:00,Feature Request,4,0,0,26,Minor,0,0,1,0,0,0,0,1,0.5,0,7,80,174,213,313
136,Nondelay,0,2005-10-03 00:00:00,Bug,1,0,0,27,Major,0,0,1,0,0,0,0,3,0.6666666666666666,0,8,50,130,126,57
137,high,127,2005-10-13 00:00:00,Task,751,1,1,16,Major,3,3,1,1,0,0,0,0,0.39375,2,10,81,190,222,365
138,high,215,2005-10-18 00:00:00,Task,145,0,8,2,Major,1,3,0,0,0,0,0,0,0.6666666666666666,0,3,100,183,250,256
139,high,174,2005-10-20 00:00:00,Task,95,0,0,200,Major,0,3,0,4,0,0,0,0,0.6571428571428571,0,9,85,194,297,337
140,high,174,2005-10-20 00:00:00,SubTask,102,0,0,200,Major,0,3,0,4,0,0,0,0,0.6571428571428571,0,9,85,141,268,19
141,high,174,2005-10-20 00:00:00,SubTask,102,0,0,200,Major,1,3,0,5,0,0,0,0,0.6571428571428571,1,9,85,121,215,213
142,high,174,2005-10-20 00:00:00,SubTask,102,0,0,200,Major,0,3,0,5,0,0,0,0,0.6571428571428571,1,10,85,151,156,19
143,high,167,2005-10-20 00:00:00,Task,95,0,0,200,Major,1,3,0,4,0,0,0,0,0.6571428571428571,0,10,95,164,217,360
144,high,167,2005-10-20 00:00:00,Task,95,0,0,200,Major,0,3,0,4,0,0,0,0,0.6571428571428571,0,8,79,194,120,387
145,high,160,2005-10-20 00:00:00,Task,95,0,0,200,Major,0,3,0,3,0,0,0,0,0.6571428571428571,0,5,73,164,173,383
146,low,1,2005-10-31 00:00:00,Bug,768,0,0,100,Major,2,0,1,0,0,0,0,0,0.4166666666666667,0,8,78,103,11,112
147,high,155,2005-11-04 00:00:00,SubTask,87,0,100,7,Major,0,3,0,4,0,0,0,0,0,0,8,33,194,136,209
148,high,148,2005-11-04 00:00:00,Task,87,0,100,7,Major,3,3,0,0,0,0,0,0,0,0,4,99,71,209,380
149,high,108,2005-11-09 00:00:00,Task,55,0,0,20,Minor,3,3,0,0,0,0,0,1,0,0,4,75,170,1,382
150,high,108,2005-11-09 00:00:00,Task,55,0,0,150,Minor,1,3,0,0,0,0,0,1,0,1,4,75,170,1,382
151,low,3,2005-11-09 00:00:00,Task,3,0,0,2,Minor,1,0,0,0,0,0,0,1,0,1,4,75,170,1,382
152,high,108,2005-11-09 00:00:00,Task,55,0,0,150,Minor,2,3,0,0,0,0,0,1,0,0,2,75,170,1,382
153,high,108,2005-11-09 00:00:00,Task,55,0,50,1,Minor,1,3,0,0,0,0,0,1,0,1,2,75,170,1,382
154,high,108,2005-11-09 00:00:00,Task,55,0,0,3,Minor,1,3,0,0,0,0,0,1,0,0,4,75,170,1,382
155,Nondelay,0,2005-11-17 00:00:00,Task,10,1,0,2,Major,3,0,1,1,2,0,1,0,0.38823529411764707,0,10,79,34,120,187
156,high,130,2005-12-02 00:00:00,Task,79,0,0,150,Major,2,3,0,6,0,0,0,0,0.5833333333333334,0,1,52,156,27,241
157,high,173,2005-12-07 00:00:00,Task,114,0,5,16,Major,1,3,0,0,0,0,0,0,0.6818181818181818,0,7,74,152,290,156
158,Nondelay,0,2005-12-19 00:00:00,Task,10,1,3,18,Critical,2,1,1,3,21,0,21,0,0.38202247191011235,0,4,83,134,181,341
159,high,81,2005-12-20 00:00:00,Feature Request,59,0,0,6,Major,6,3,1,0,2,2,0,1,0.3333333333333333,0,9,91,160,295,314
160,medium,44,2005-12-23 00:00:00,SubTask,34,0,3,21,Major,2,3,1,1,0,0,0,0,0,0,9,77,82,235,136
161,medium,35,2005-12-23 00:00:00,SubTask,13,1,3,21,Major,1,3,1,1,0,0,0,0,0,0,9,77,67,235,132
162,low,1,2005-12-23 00:00:00,SubTask,20,1,3,21,Major,1,0,1,1,0,0,0,0,0,0,9,45,67,196,23
163,low,3,2006-01-03 00:00:00,Release,77,0,100,1,Major,0,0,1,1,2,0,2,0,0,1,5,62,68,276,398
164,high,83,2006-01-03 00:00:00,SubTask,115,1,0,150,Major,2,3,1,1,0,0,0,0,0,0,9,65,152,239,347
165,high,73,2006-01-03 00:00:00,SubTask,76,0,100,1,Major,1,3,1,1,0,0,0,0,0,0,4,17,133,177,238
166,low,3,2006-01-03 00:00:00,Release,77,0,100,1,Major,2,0,1,1,2,0,2,0,0,2,7,79,112,246,184
167,high,74,2006-01-03 00:00:00,SubTask,115,1,0,150,Major,2,3,1,1,0,0,0,0,0,0,7,65,152,225,93
168,medium,62,2006-01-03 00:00:00,SubTask,115,1,0,150,Major,2,3,1,1,0,0,0,0,0,1,2,65,152,239,114
169,medium,57,2006-01-03 00:00:00,SubTask,79,0,0,150,Major,1,3,1,1,0,0,0,0,0,0,10,91,129,194,367
170,Nondelay,0,2006-01-03 00:00:00,Task,172,0,100,1,Major,0,0,0,0,0,0,0,0,0,0,5,87,163,246,194
171,Nondelay,0,2006-01-03 00:00:00,SubTask,61,0,100,1,Major,1,0,1,3,0,0,0,0,0,0,4,70,163,246,322
172,medium,48,2006-01-04 00:00:00,Task,75,0,44,8,Major,1,3,0,0,0,0,0,0,0.5,0,7,89,197,98,395
173,high,107,2006-01-14 00:00:00,Feature Request,676,0,11,8,Major,1,3,1,0,0,0,0,0,0,0,8,75,49,232,283
174,high,107,2006-01-14 00:00:00,Feature Request,676,0,11,8,Major,1,3,1,0,0,0,0,0,0,0,8,69,186,225,216
175,high,107,2006-01-14 00:00:00,Task,676,0,11,8,Major,1,3,1,0,0,0,0,0,0,0,8,29,34,269,350
176,Nondelay,0,2006-01-25 00:00:00,Task,10,0,0,5,Major,2,0,1,8,8,1,7,0,0.8125,0,6,18,153,137,372
177,Nondelay,0,2006-01-26 00:00:00,Task,12,1,14,2,Major,3,0,1,0,0,0,0,1,0.5,1,5,45,84,189,315
178,high,90,2006-01-31 00:00:00,Task,676,0,11,8,Major,1,3,1,0,0,0,0,0,0,0,8,29,107,225,326
179,high,90,2006-01-31 00:00:00,Feature Request,676,0,11,8,Major,1,3,1,0,0,0,0,0,0,0,10,87,59,267,358
180,high,90,2006-01-31 00:00:00,Feature Request,676,0,11,8,Major,1,3,1,0,0,0,0,0,0,0,9,89,189,285,72
181,low,2,2006-02-02 00:00:00,Bug,3,0,0,100,Major,4,0,1,0,0,0,0,1,0,0,5,88,98,288,170
182,medium,12,2006-02-07 00:00:00,Task,24,1,10,5,Major,10,0,1,0,1,1,0,0,0.675,1,9,45,136,79,159
183,medium,12,2006-02-13 00:00:00,Feature Request,816,0,13,6,Major,1,0,1,0,0,0,0,0,0.28,0,9,76,144,265,311
184,medium,34,2006-02-14 00:00:00,Feature Request,19,0,0,150,Major,0,3,1,1,0,0,0,0,0.3333333333333333,0,3,96,188,4,209
185,medium,32,2006-02-17 00:00:00,Task,28,0,8,5,Major,1,3,0,0,1,1,0,0,0.42196531791907516,0,7,79,200,144,288
186,low,7,2006-02-20 00:00:00,Task,16,0,5,2,Blocker,3,0,1,1,0,0,0,1,0.1643835616438356,0,6,84,103,289,212
187,high,101,2006-02-27 00:00:00,Task,677,0,11,8,Major,1,3,1,2,1,0,1,0,0,0,9,29,107,208,46
188,medium,15,2006-02-28 00:00:00,SubTask,66,0,8,30,Major,1,0,1,1,0,0,0,0,0.6923076923076923,1,9,61,77,196,15
189,Nondelay,0,2006-02-28 00:00:00,Task,1,0,0,5,Major,0,0,1,0,0,0,0,1,0.7692307692307693,0,9,100,60,288,387
190,Nondelay,0,2006-03-07 00:00:00,Task,26,1,0,0,Major,6,0,1,0,1,0,1,0,0,1,3,77,79,298,393
191,low,1,2006-03-09 00:00:00,Bug,1,0,0,4,Major,1,0,1,0,0,0,0,0,0.625,0,7,64,181,188,331
192,low,4,2006-03-09 00:00:00,Bug,3,0,0,4,Major,0,0,1,0,0,0,0,0,0.625,0,4,92,190,190,209
193,low,6,2006-03-09 00:00:00,Feature Request,229,0,0,4,Major,1,0,1,0,1,0,1,0,0.625,0,7,10,176,224,263
194,low,6,2006-03-14 00:00:00,Feature Request,7,0,5,17,Major,2,0,1,1,0,0,0,1,0.7,0,5,99,155,287,291
195,low,4,2006-03-16 00:00:00,Task,52,0,0,1,Major,0,0,0,1,0,0,0,0,0.3888888888888889,0,4,82,198,259,347
196,low,1,2006-03-28 00:00:00,Task,40,0,50,2,Major,0,0,0,0,0,0,0,0,0,0,8,97,138,299,188
197,high,287,2006-03-30 00:00:00,Task,677,0,11,8,Major,1,3,1,0,0,0,0,0,0,0,7,91,174,99,260
198,high,279,2006-04-06 00:00:00,Task,140,0,0,200,Major,0,3,1,2,0,0,0,1,0.4,0,6,38,166,258,103
199,high,239,2006-04-17 00:00:00,Feature Request,120,0,0,200,Major,2,3,0,2,1,1,0,1,0,0,5,55,178,98,330
200,medium,36,2006-04-21 00:00:00,Feature Request,682,0,0,7,Major,2,3,1,6,3,0,3,0,0.3721973094170404,5,9,80,19,90,395
201,high,133,2006-04-25 00:00:00,Feature Request,96,0,1,40,Critical,2,3,1,0,2,2,0,0,0.7704918032786885,0,9,3,9,283,388
