#,impact,delaydays,openeddate,type,discussion,repetition,perofdelay,workload,priority,no_comment,no_priority_change,no_fixversion,no_fixversion_change,no_issuelink,no_blocking,no_blockedby,no_affectversion,reporterrep,no_des_change,topic_10,topic_100,topic_200,topic_300,topic_400
45,Nondelay,0,2007-01-10 00:00:00,Bug,7,0,0,0,Major,1,0,1,3,0,0,0,1,0.3333333333333333,0,6,59,197,28,226
46,Nondelay,0,2007-01-11 00:00:00,Bug,7,0,0,0,Major,1,0,1,2,0,0,0,1,0.25,0,7,81,185,287,286
47,Nondelay,0,2007-01-11 00:00:00,NewFeature,67,0,0,0,Major,8,0,1,6,1,0,0,1,0.25,0,4,59,196,230,396
48,Nondelay,0,2007-01-11 00:00:00,Bug,0,0,0,2,Critical,1,0,1,1,0,0,0,1,0,0,10,72,37,269,397
49,Nondelay,0,2007-01-12 00:00:00,Bug,2,0,0,0,Minor,3,0,1,1,1,0,0,1,0,0,10,89,101,115,33
50,Nondelay,0,2007-01-12 00:00:00,Bug,0,0,0,0,Major,2,0,1,0,0,0,0,1,0,0,2,43,46,233,384
51,high,89,2007-01-12 00:00:00,NewFeature,268,0,0,1,Critical,13,0,2,1,0,0,0,1,0,0,4,96,160,143,385
52,Nondelay,0,2007-01-12 00:00:00,Improvement,6,0,0,0,Major,1,0,1,2,0,0,0,1,0,1,10,94,188,248,57
53,Nondelay,0,2007-01-14 00:00:00,Bug,1,0,0,0,Major,1,0,1,0,0,0,0,1,0.14285714285714285,1,1,84,30,293,14
54,Nondelay,0,2007-01-15 00:00:00,NewFeature,1,0,0,0,Major,1,0,1,1,1,0,0,0,0.125,0,6,88,196,121,63
55,Nondelay,0,2007-01-15 00:00:00,Bug,7,0,0,0,Major,7,0,1,9,2,0,0,2,0,0,1,11,193,135,323
56,Nondelay,0,2007-01-16 00:00:00,Suggestion,22,0,0,0,,2,1,1,1,1,0,0,1,0,0,1,81,181,103,341
57,low,1,2007-01-16 00:00:00,Improvement,17,1,0,98,Blocker,2,0,1,2,0,0,0,0,0.1111111111111111,0,10,16,140,76,358
58,low,4,2007-01-16 00:00:00,Improvement,465,0,0,2,Blocker,0,1,1,9,0,0,0,0,0.1111111111111111,1,10,52,40,140,247
59,Nondelay,0,2007-01-16 00:00:00,NewFeature,226,0,0,0,Major,6,0,1,9,0,0,0,0,0.1111111111111111,0,4,85,81,271,5
60,low,5,2007-01-16 00:00:00,Bug,17,0,0,98,Major,1,0,1,4,0,0,0,7,0.1111111111111111,0,4,85,137,197,195
61,Nondelay,0,2007-01-16 00:00:00,Improvement,8,0,0,0,Major,3,0,1,2,1,0,0,1,0.1111111111111111,0,3,100,151,287,104
62,Nondelay,0,2007-01-16 00:00:00,Bug,1,0,0,0,Major,1,0,1,0,0,0,0,1,0.1111111111111111,0,2,59,177,295,233
63,Nondelay,0,2007-01-16 00:00:00,Bug,0,0,0,0,Major,1,0,1,0,0,0,0,1,0.1111111111111111,0,10,5,178,174,383
64,low,5,2007-01-17 00:00:00,Bug,17,0,0,98,Major,1,0,1,3,1,0,0,2,0,1,2,34,75,2,362
65,Nondelay,0,2007-01-17 00:00:00,NewFeature,141,1,0,3,Major,9,0,1,7,1,0,0,0,0,0,9,38,93,259,341
66,Nondelay,0,2007-01-17 00:00:00,Bug,14,0,0,0,Critical,23,0,1,2,2,0,0,1,0,0,7,5,43,174,315
67,Nondelay,0,2007-01-17 00:00:00,Bug,4,0,0,0,Major,3,0,1,0,1,0,0,1,0,0,9,60,189,145,104
68,Nondelay,0,2007-01-18 00:00:00,Bug,0,0,0,0,Major,1,0,1,2,1,0,0,1,0,0,1,50,117,160,345
69,medium,20,2007-01-19 00:00:00,Suggestion,98,0,0,150,,1,1,1,1,0,0,0,1,0,0,10,99,168,245,362
70,Nondelay,0,2007-01-19 00:00:00,Bug,0,0,0,1,Trivial,0,0,1,1,0,0,0,3,0,0,5,78,159,273,301
71,Nondelay,0,2007-01-19 00:00:00,Bug,0,0,0,0,Major,1,0,1,0,2,0,0,2,0.2,0,9,91,193,214,263
72,Nondelay,0,2007-01-22 00:00:00,Bug,1,0,0,2,Minor,1,0,1,1,0,0,0,0,0,0,2,77,177,295,335
73,Nondelay,0,2007-01-23 00:00:00,Suggestion,3,0,0,1,,4,1,1,1,2,0,0,0,0,1,8,99,71,292,380
74,Nondelay,0,2007-01-23 00:00:00,Bug,11,0,0,1,Major,2,0,1,2,1,0,0,1,0.5,0,10,43,46,233,384
75,Nondelay,0,2007-01-23 00:00:00,Bug,1,0,0,3,Major,0,0,1,0,0,0,0,1,0,0,7,76,120,256,372
76,Nondelay,0,2007-01-24 00:00:00,SubTask,1,0,0,2,Major,0,0,1,1,0,0,0,0,0,1,4,45,187,253,178
77,high,167,2007-01-24 00:00:00,Improvement,472,1,0,5,Major,1,0,1,8,1,0,0,0,0,0,10,100,189,237,62
78,Nondelay,0,2007-01-25 00:00:00,Improvement,3,0,0,0,Major,1,0,1,0,1,0,0,0,0.2,0,9,71,198,123,361
79,Nondelay,0,2007-01-25 00:00:00,Improvement,3,0,0,0,Major,2,0,1,0,4,0,0,0,0.2,1,8,99,186,54,395
80,Nondelay,0,2007-01-25 00:00:00,Bug,2,0,0,1,Minor,4,0,1,2,0,0,0,1,0,0,4,78,181,168,301
81,Nondelay,0,2007-01-25 00:00:00,Suggestion,172,0,0,0,,5,1,1,1,2,0,0,1,0,0,2,66,193,272,356
82,Nondelay,0,2007-01-25 00:00:00,Bug,0,0,0,1,Major,2,0,1,1,1,0,0,1,0,1,8,83,130,208,147
83,Nondelay,0,2007-01-25 00:00:00,Bug,0,0,0,1,Major,3,0,1,1,3,0,0,1,0,0,9,76,24,228,228
84,Nondelay,0,2007-01-29 00:00:00,Bug,1,0,0,5,Critical,4,0,1,2,0,0,0,1,0,0,10,12,23,181,376
85,Nondelay,0,2007-01-29 00:00:00,Suggestion,36,0,0,0,,3,1,1,3,0,0,0,1,0,0,2,10,197,226,396
86,Nondelay,0,2007-01-29 00:00:00,Improvement,68,0,0,7,Major,1,0,1,4,1,0,0,1,0.14285714285714285,0,2,83,150,294,362
87,Nondelay,0,2007-01-30 00:00:00,Bug,7,0,0,6,Major,17,0,1,2,2,0,0,0,0,0,9,84,100,232,345
88,Nondelay,0,2007-01-31 00:00:00,Bug,15,0,0,0,Major,1,0,1,2,0,0,0,1,0.5,1,3,59,37,31,396
89,Nondelay,0,2007-01-31 00:00:00,Bug,1,0,0,1,Critical,3,0,1,0,0,0,0,1,0.3333333333333333,0,4,83,136,262,334
90,Nondelay,0,2007-01-31 00:00:00,Bug,112,0,0,0,Minor,1,0,1,5,0,0,0,1,0,0,10,29,183,267,22
91,Nondelay,0,2007-01-31 00:00:00,Bug,3,0,0,5,Trivial,3,0,1,2,1,0,0,1,0.1111111111111111,0,7,76,120,253,399
92,Nondelay,0,2007-01-31 00:00:00,Bug,169,0,0,0,Major,2,0,1,4,0,0,0,1,0,0,6,88,162,298,377
93,Nondelay,0,2007-01-31 00:00:00,Bug,4,0,0,0,Trivial,1,0,1,2,0,0,0,1,0,0,8,67,185,287,181
94,Nondelay,0,2007-01-31 00:00:00,SubTask,416,0,0,8,Blocker,7,0,1,1,3,0,0,1,0,0,5,96,149,296,19
95,high,488,2007-02-01 00:00:00,Suggestion,120,0,0,200,,5,1,1,1,3,0,0,1,0,0,6,24,14,157,211
96,Nondelay,0,2007-02-01 00:00:00,Suggestion,2,0,0,2,,1,2,1,0,0,0,0,0,0,0,2,99,75,294,337
97,Nondelay,0,2007-02-02 00:00:00,Bug,3,0,0,5,Critical,7,0,1,1,1,0,0,1,0,0,3,96,110,176,325
98,Nondelay,0,2007-02-02 00:00:00,Bug,2,0,0,1,Major,3,2,1,2,0,0,0,1,0.5,2,10,93,158,254,335
99,Nondelay,0,2007-02-02 00:00:00,Bug,2,0,0,2,Major,1,0,1,0,1,0,0,1,0.4,0,7,15,59,114,372
100,Nondelay,0,2007-02-02 00:00:00,Bug,14,1,0,0,Major,9,0,1,2,1,0,0,1,0,0,4,67,185,287,286
101,Nondelay,0,2007-02-03 00:00:00,Bug,5,0,0,4,Major,10,0,1,1,0,0,0,1,0,0,4,37,139,290,395
102,Nondelay,0,2007-02-05 00:00:00,Suggestion,41,0,0,2,,1,1,1,2,0,0,0,1,0.3333333333333333,0,8,92,132,15,271
103,Nondelay,0,2007-02-05 00:00:00,Bug,0,0,0,0,Major,1,0,1,0,0,0,0,1,0.3333333333333333,0,6,99,186,288,332
104,Nondelay,0,2007-02-06 00:00:00,Bug,1,0,0,4,Minor,1,1,1,2,1,0,0,1,0,0,8,95,150,274,8
105,Nondelay,0,2007-02-06 00:00:00,Bug,1,0,0,4,Major,2,0,1,2,1,0,0,1,0,1,7,15,59,51,252
106,Nondelay,0,2007-02-06 00:00:00,Bug,1,0,0,4,Critical,2,1,1,2,1,0,0,0,0.07692307692307693,0,9,26,154,279,261
107,medium,22,2007-02-06 00:00:00,Suggestion,29,0,0,150,,0,1,1,2,0,0,0,0,0,0,9,99,186,292,332
108,Nondelay,0,2007-02-07 00:00:00,Bug,1,0,0,0,Trivial,2,0,1,1,1,0,0,1,0,0,10,16,54,275,305
109,Nondelay,0,2007-02-07 00:00:00,Bug,0,0,0,0,Trivial,0,0,1,5,0,0,0,1,0,0,1,93,147,296,365
110,high,163,2007-02-07 00:00:00,NewFeature,309,0,0,10,Major,2,0,2,3,1,0,0,0,0.3,0,2,60,181,151,184
111,Nondelay,0,2007-02-08 00:00:00,NewFeature,51,0,0,11,Major,0,0,1,1,0,0,0,0,0.36363636363636365,0,6,91,122,286,94
112,Nondelay,0,2007-02-08 00:00:00,Bug,7,0,0,0,Major,2,0,1,3,1,0,0,4,0,0,9,55,45,116,373
113,Nondelay,0,2007-02-08 00:00:00,Bug,0,0,0,1,Major,2,0,1,1,2,0,0,4,0,0,9,55,197,116,373
114,Nondelay,0,2007-02-08 00:00:00,Bug,7,0,0,0,Minor,4,1,1,3,2,0,0,4,0,2,9,63,111,241,373
115,Nondelay,0,2007-02-08 00:00:00,Suggestion,68,0,0,0,,6,1,1,8,5,0,0,0,0.3333333333333333,0,2,85,153,271,133
116,Nondelay,0,2007-02-08 00:00:00,Bug,0,0,0,6,Minor,2,0,1,1,2,0,0,1,0,0,10,91,93,214,339
117,Nondelay,0,2007-02-09 00:00:00,Bug,5,1,0,5,Major,6,1,1,1,1,0,0,4,0,0,9,90,191,239,390
118,Nondelay,0,2007-02-09 00:00:00,Bug,2,0,0,4,Minor,2,0,1,2,2,0,0,1,0,0,8,48,94,294,397
119,Nondelay,0,2007-02-09 00:00:00,Bug,1,0,0,5,Blocker,2,1,1,1,2,0,0,1,0,0,8,13,145,193,37
120,Nondelay,0,2007-02-09 00:00:00,Bug,19,0,0,2,Major,13,1,1,1,0,0,0,0,0,0,10,68,164,233,384
121,Nondelay,0,2007-02-09 00:00:00,Suggestion,68,0,0,0,,10,1,1,1,4,0,0,0,0.2,0,5,93,82,225,30
122,Nondelay,0,2007-02-09 00:00:00,Bug,290,0,0,1,Major,7,0,1,4,2,0,0,1,0,0,5,81,111,259,344
123,Nondelay,0,2007-02-10 00:00:00,Bug,3,0,0,1,Major,10,1,1,1,0,0,0,1,0,0,8,11,132,40,47
124,low,11,2007-02-12 00:00:00,Suggestion,2,1,0,98,,2,1,1,1,0,0,0,0,0,0,9,75,187,284,182
125,Nondelay,0,2007-02-12 00:00:00,Bug,1,0,0,5,Major,1,0,1,2,0,0,0,0,0,0,7,15,193,246,252
126,Nondelay,0,2007-02-12 00:00:00,Bug,2,0,0,5,Minor,2,0,1,2,1,0,0,1,0,0,6,100,130,186,20
127,Nondelay,0,2007-02-12 00:00:00,Suggestion,68,0,0,0,,37,1,2,7,3,0,0,0,0.05555555555555555,2,3,25,113,291,101
128,Nondelay,0,2007-02-12 00:00:00,Bug,0,0,0,5,Major,1,0,1,2,0,0,0,0,0.14285714285714285,0,4,71,138,289,399
129,Nondelay,0,2007-02-12 00:00:00,Suggestion,248,0,0,0,,4,2,1,4,0,0,0,0,0.14285714285714285,0,8,24,169,226,285
130,Nondelay,0,2007-02-13 00:00:00,Suggestion,68,1,0,0,,7,1,1,7,2,0,0,1,0,1,5,53,9,8,340
131,Nondelay,0,2007-02-13 00:00:00,Bug,1,0,0,3,Minor,2,0,1,2,0,0,0,1,0,0,5,27,154,298,176
132,Nondelay,0,2007-02-13 00:00:00,Bug,376,0,0,0,Critical,3,1,2,9,2,0,0,1,0,0,5,43,121,110,352
133,low,7,2007-02-13 00:00:00,Bug,1,0,0,98,Critical,1,0,1,0,0,0,0,1,0.0625,0,10,85,177,204,162
134,low,7,2007-02-13 00:00:00,Bug,1,0,0,98,Major,1,0,1,1,0,0,0,1,0,0,10,99,132,220,348
135,low,6,2007-02-13 00:00:00,Bug,57,0,0,98,Major,0,0,1,0,0,0,0,1,0.0625,0,5,65,166,298,382
136,low,6,2007-02-13 00:00:00,Bug,57,0,0,98,Blocker,1,0,1,1,1,0,0,1,0,0,5,99,186,103,332
137,low,5,2007-02-13 00:00:00,Improvement,57,0,0,98,Minor,1,0,1,1,0,0,0,0,0,0,6,99,71,294,332
138,low,2,2007-02-13 00:00:00,Improvement,57,0,0,98,Minor,1,0,1,0,0,0,0,1,0,0,3,40,33,180,163
139,low,2,2007-02-13 00:00:00,Improvement,57,0,0,98,Major,1,0,1,0,0,0,0,1,0,0,10,99,189,101,104
140,Nondelay,0,2007-02-14 00:00:00,Suggestion,68,0,0,0,,2,1,1,1,1,0,0,1,0,0,8,48,142,166,334
141,Nondelay,0,2007-02-14 00:00:00,Bug,1,0,0,8,Minor,1,0,1,2,0,0,0,1,0,0,5,96,80,107,103
142,Nondelay,0,2007-02-14 00:00:00,Suggestion,211,0,0,0,,23,1,1,7,1,0,0,4,0.05263157894736842,0,10,43,190,233,307
143,medium,40,2007-02-15 00:00:00,Improvement,180,0,0,150,Major,0,0,1,0,0,0,0,0,0,0,2,75,148,225,325
144,Nondelay,0,2007-02-15 00:00:00,Bug,381,0,0,1,Major,5,0,1,7,1,0,0,0,0.16666666666666666,0,10,90,178,248,334
145,Nondelay,0,2007-02-15 00:00:00,Bug,0,0,0,5,Major,1,0,1,2,1,0,0,1,0.16666666666666666,0,8,94,123,95,258
146,Nondelay,0,2007-02-15 00:00:00,Bug,1,0,0,7,Major,3,0,1,2,1,0,0,0,0,1,8,11,104,15,311
147,Nondelay,0,2007-02-15 00:00:00,Suggestion,32,0,0,7,,1,1,1,2,0,0,0,1,0.25,0,5,27,160,200,252
148,Nondelay,0,2007-02-15 00:00:00,Bug,0,0,0,5,Major,1,0,1,3,2,0,0,1,0.16666666666666666,0,8,52,159,157,220
149,low,2,2007-02-15 00:00:00,Bug,57,0,0,98,Minor,1,0,1,1,3,0,0,1,0.5,0,10,63,55,233,384
150,Nondelay,0,2007-02-16 00:00:00,Bug,6,0,0,0,Major,1,0,1,2,0,0,0,1,0.25,0,8,91,86,256,149
151,Nondelay,0,2007-02-16 00:00:00,Bug,3,0,0,3,Minor,1,0,1,3,1,0,0,1,0.4,0,10,63,111,141,258
152,high,172,2007-02-17 00:00:00,Bug,102,0,0,2,Critical,4,0,1,3,1,0,0,1,0,0,7,9,38,294,154
153,Nondelay,0,2007-02-18 00:00:00,Bug,30,0,0,1,Major,1,0,1,5,1,0,0,2,0.2,0,9,47,120,137,373
154,Nondelay,0,2007-02-19 00:00:00,Suggestion,2,0,0,1,,6,1,1,1,0,0,0,0,0,0,4,86,188,277,398
155,low,1,2007-02-20 00:00:00,Bug,15,0,0,16,Major,8,0,1,3,1,0,0,2,0,0,10,66,200,167,281
156,high,111,2007-02-21 00:00:00,Bug,3,0,0,3,Major,9,0,2,2,0,0,0,1,0,1,3,90,147,155,156
157,high,78,2007-02-21 00:00:00,Suggestion,98,1,0,150,,28,1,1,1,6,0,0,0,0,0,6,99,186,106,80
158,Nondelay,0,2007-02-21 00:00:00,Bug,4,0,0,2,Major,2,0,1,3,0,0,0,1,0,0,5,17,10,123,351
159,Nondelay,0,2007-02-22 00:00:00,Bug,0,0,0,0,Blocker,1,1,1,3,0,0,0,1,0,0,10,91,102,164,62
160,Nondelay,0,2007-02-22 00:00:00,Bug,0,0,0,0,Minor,1,0,1,1,1,0,0,1,0.16666666666666666,0,9,55,45,116,373
161,Nondelay,0,2007-02-22 00:00:00,Bug,0,0,0,4,Minor,1,0,1,1,2,0,0,1,0.16666666666666666,0,7,76,183,53,22
162,Nondelay,0,2007-02-23 00:00:00,SubTask,1,0,0,2,Major,1,0,1,1,0,0,0,1,0.42857142857142855,0,9,55,45,116,208
163,Nondelay,0,2007-02-23 00:00:00,SubTask,1,0,0,2,Major,1,0,1,0,1,0,0,1,0.42857142857142855,0,9,55,45,116,208
164,Nondelay,0,2007-02-23 00:00:00,Suggestion,7,0,0,0,,0,1,1,0,7,0,0,1,0.42857142857142855,0,6,99,186,292,332
165,Nondelay,0,2007-02-23 00:00:00,NewFeature,392,0,0,0,Major,4,0,1,2,3,0,0,0,0.46153846153846156,0,1,99,115,250,358
166,Nondelay,0,2007-02-23 00:00:00,NewFeature,5,0,0,0,Critical,1,1,1,0,0,0,0,1,0.05555555555555555,0,6,99,165,292,396
167,Nondelay,0,2007-02-23 00:00:00,Improvement,17,0,0,1,Major,1,0,1,1,0,0,0,1,0.46153846153846156,0,10,59,93,282,158
168,Nondelay,0,2007-02-25 00:00:00,Improvement,12,0,0,2,Major,1,0,1,2,0,0,0,0,0.4,0,2,98,186,288,332
169,Nondelay,0,2007-02-25 00:00:00,SubTask,0,0,0,4,Major,1,0,1,0,0,0,0,1,0.5,0,9,55,45,116,208
170,Nondelay,0,2007-02-25 00:00:00,Bug,0,0,0,0,Trivial,0,0,1,1,1,0,0,1,0.25,0,9,55,45,116,373
171,Nondelay,0,2007-02-26 00:00:00,SubTask,1,0,0,2,Major,1,0,1,0,0,0,0,1,0.5454545454545454,0,6,15,59,114,315
172,Nondelay,0,2007-02-26 00:00:00,SubTask,0,0,0,2,Major,1,0,1,0,0,0,0,1,0.5454545454545454,0,9,55,45,116,208
173,Nondelay,0,2007-02-26 00:00:00,Suggestion,0,0,0,0,,1,1,1,1,1,0,0,1,0.2222222222222222,0,9,81,179,158,181
174,Nondelay,0,2007-02-26 00:00:00,Bug,2,0,0,0,Major,1,0,1,0,0,0,0,3,0,0,6,88,137,251,100
175,Nondelay,0,2007-02-26 00:00:00,Improvement,11,0,0,3,Major,1,0,1,2,0,0,0,0,0.375,0,6,5,90,120,358
176,high,244,2007-02-27 00:00:00,Bug,37,1,0,4,Critical,21,1,1,6,0,0,0,0,0,0,10,83,185,285,299
177,Nondelay,0,2007-02-27 00:00:00,Bug,1,0,0,0,Major,1,0,1,1,1,0,0,1,0,0,7,21,137,298,195
178,low,1,2007-02-27 00:00:00,NewFeature,19,0,0,17,Major,1,0,1,1,1,0,0,0,0.3888888888888889,0,10,88,140,289,356
179,Nondelay,0,2007-02-27 00:00:00,Bug,0,0,0,1,Major,2,0,1,2,1,0,0,0,0.26666666666666666,0,5,95,191,286,343
180,Nondelay,0,2007-02-27 00:00:00,Bug,0,0,0,1,Major,1,0,1,2,0,0,0,0,0.26666666666666666,0,9,81,129,125,244
181,Nondelay,0,2007-02-27 00:00:00,Bug,0,0,0,3,Major,0,0,1,2,1,0,0,0,0.26666666666666666,0,7,52,165,140,370
182,Nondelay,0,2007-02-27 00:00:00,Suggestion,1,0,0,0,,0,2,1,2,0,0,0,0,0.3888888888888889,0,3,99,189,101,104
183,Nondelay,0,2007-02-27 00:00:00,SubTask,1,0,0,1,Major,2,0,1,0,1,0,0,1,0.6153846153846154,0,10,59,173,180,65
184,Nondelay,0,2007-02-28 00:00:00,Bug,3,0,0,4,Major,0,0,1,2,0,0,0,1,0,0,5,72,159,269,39
185,Nondelay,0,2007-02-28 00:00:00,Bug,1,0,0,4,Trivial,1,0,1,3,0,0,0,1,0,0,5,78,90,158,61
186,Nondelay,0,2007-02-28 00:00:00,Suggestion,2,1,0,1,,3,1,1,2,0,0,0,1,0,0,9,81,118,53,383
187,Nondelay,0,2007-02-28 00:00:00,Suggestion,187,0,0,0,,1,1,1,1,2,0,0,0,0.043478260869565216,0,4,54,179,186,382
188,Nondelay,0,2007-03-01 00:00:00,Suggestion,0,0,0,0,,2,1,1,0,4,0,0,1,0,0,9,59,197,176,300
189,Nondelay,0,2007-03-01 00:00:00,Bug,2,0,0,5,Trivial,2,0,1,1,0,0,0,1,0.2,0,10,85,159,183,301
190,Nondelay,0,2007-03-01 00:00:00,Bug,2,0,0,1,Major,1,0,1,1,0,0,0,1,0.3333333333333333,0,10,91,190,147,319
191,Nondelay,0,2007-03-01 00:00:00,Bug,0,0,0,1,Major,0,0,1,2,0,0,0,0,0.3333333333333333,0,8,92,101,268,233
192,Nondelay,0,2007-03-01 00:00:00,SubTask,126,0,0,5,Major,1,0,1,3,0,0,0,1,0.05263157894736842,0,10,13,186,197,168
193,Nondelay,0,2007-03-01 00:00:00,Improvement,1,0,0,0,Major,1,0,1,0,0,0,0,1,0.05263157894736842,0,10,99,178,292,206
194,Nondelay,0,2007-03-01 00:00:00,Bug,249,0,0,0,Major,4,0,2,11,2,0,0,1,0,0,6,96,59,228,315
195,Nondelay,0,2007-03-02 00:00:00,Bug,2,0,0,6,Minor,2,0,1,1,2,0,0,1,0,0,10,78,184,242,324
196,Nondelay,0,2007-03-02 00:00:00,Bug,68,0,0,0,Major,14,0,2,4,5,0,0,3,0,5,5,100,123,199,395
