issuekey,title,description,storypoint
TESB-55,"XML mapping dialog doesn't support namespaces correctly from imported Xml Schema","import importedXmlSchema.xsd as XML Tree in ""Configure Xml Tree"" dialog of tWriteXMLField     produced output:  {code:xml}  <Id xmlns=""http://types.sopera.org/ServiceRegistry/common/V2.0""      type=""ServiceDescription"">    <Namespace>http://services.sopera.org/demo/1.0</Namespace>    <Name>TestService</Name>  </Id>  {code}    but expected:  {code:xml}  <com:Id xmlns:com=""http://types.sopera.org/ServiceRegistry/common/V2.0""      type=""ServiceDescription"">    <Namespace>http://services.sopera.org/demo/1.0</Namespace>    <Name>TestService</Name>  </com:Id>  {code}    i.e. nested elements should be in default (empty) namespace    and to achive desired output you should manually reconfigure namespaces to XML Tree in ""Configure Xml Tree"" dialog  ",1
TESB-56,"XML mapping dialog doesn't allow to choose type of imported Xml Schema","import multipleTypes.xsd as XML Tree in ""Configure Xml Tree"" dialog of tWriteXMLField     there is no possibility to choose schema type to use in XML mapping    also reproducable via creating ""File XML"" metadata (""OutPut XML"" type) using schema from file  ",1
TESB-139,"SL: Create Service Locator UI Mock-Up","Create a specification for the Service Locator UI.    Remark:   Even though the Apache Zookeeper Project provides some Ui it is not really very inuitive to visualize the appearance and removal of Service Providers.    Technical Remark:   The UI is a web ui and the implementation will be made with GWT.",3
TESB-141,"SR: Specification of the updated Talend ESB Registry","Provide a specification for the new Talend ESB Registry which has a stronger focus on a pure Runtime SR.    This part of the specification is expected to describe in detail  - The use cases we support with the new registry (and also which once we will no longer support from the ASf Registry)  - the Service API  - the Data Model /relationships we can maintain with the SR  - The implementation technology for the content repository (final decision for / against using Jackrabbit)    As a base for the spec please use:   http://wiki.servicebackbone.org/wiki/index.php/TESB:ServiceRegistry",5
TESB-144,"SR: Define Deployment package structure + examples","Definition of the structure (zip file) which we allow to 'deploy' within the SR (WSDL, Policies, etc.)   The structure is intented to be implemented later on by the deploy operation.",2
TESB-151,"STS:  Provider Implementation (Servlet) (API + dummy issue operation implementation)","Implement a new CXF Provider based on the WS-Trust 1.4 (!) API. The primary deployment for this STS Provider will be Tomcat 6 (WAR File). The Provider is also expectred to run later in a OSGi Environment (Equinox + Karaf).  (For the WSDL and Spec of WS-Trust 1.4 STS see http://docs.oasis-open.org/ws-sx/ws-trust/v1.4/os/ws-trust-1.4-spec-os.html)    Additionally:  Implement the 'issue' operation of the service in a way that for a given UsernameToken and/or X.509 Token, we return a 'dummy' SAML Token (Spec. 1.1) which is created by using the latest version of OpenSAML 2.3.1. (so far it is ok to always return the same 'example SAML Token within the 'issue' operation implementation.     ",3
TESB-158,"Documented Example: 'Rent-a-Car' Service for Talend ESB - OSGi","Rebuild the Rent-a-Car Service as CXF JAX-WS Consumer & Provider similar to the once we provided in the Swordfish Tutorial for Helios. Also the Swing Client should be migrated and work within this example with the new Talend ESB Service consumers and providers and within our OSGi Container (Equinox + Karaf).    It is expected that the consumer can switch between a static (local config/policies) and a dynamic (SR policies) even though initial it only needs to work with local configuration/policies. ",3
TESB-203,"Develop, test and document Talend ESB Consumer Component",NULL,5
TESB-205,"New components: tESBProviderRequest and tESBProviderResponse","Develop, test and document two new components: tESBProviderRequest and tESBProviderResponse.  These components should work similar to the tWebServiceRequest but from the provider side.  Code generated by these components should use ESB Service Factory (aka CXF).",3
TESB-208,"Integrate developed components with Talend Testing Framework",NULL,5
TESB-209,"Create a build infrastructure (CI, build scripts, etc)",NULL,3
TESB-274,"RTC: Policy resolver impl.","Implementation of an initial policy resolver which is able to configure the processing chain in CXF by an effective policy document we get from 'outside' (could be a local file).     Limited to be demonstrated with existing CXF policies (e.g. Authentication)       Assumptions:  For each endpoint (Consumer/provider) the user can decide if the chain is dynamically (SR provided policy / config) or static configured (local config/policies) - We will at least initially not support a mixed mode.    So far it is ok if the policy negotiation is done within the SR and not in the local policy resolver    It is expected that the chain can be reconfigured (Cache Invaliation)",5
TESB-278,"SL: Provider registration impl. ","CXF Provider registration (to the Service Locator) at startup.   Implementation based on the M0 results for the  incl. heardbeat (Provider availablility check)",3
TESB-279,"SL: Endpoint Resolver","A consumer for the Service Locator which is able to retieve the list of available provider (endpoints) for a given service and uses inital only a random selection strategy to select a single endpoint (provider) out of the list if more then one exists.   The SL client should also be able use the different SL instances and should switch automatically to another SL instance if the one he used before disappeared.    Workflow to be supported on the consumer:  - For a given Service get the list of existing providers (instances) from the SL.  - Select from the list the endpoint to be used by just using a simple startegy to randomly pick one entry from the list but design.  - Keep the selected endpoint also fro subsequent requests  - Refresh (reload list from SL) the list of endpoints when the current selected Endpoint results in a 'connection refused' error  - use the new endpoint    Remark:   We also should try to use/leverage/take into account the fail over feature which is available in CXF.      (Remark: we mainly leverage here Zookeeper client features)",3
TESB-280,"SL: Installation & User Manual (Draft)","Installation / Configuration manual for SL (Draft)",3
TESB-281,"STS: Issue standard SAMLToken - SAML 1.1","Implement the Issue operation of the STS Framework service to support the following Inbound/Outbound Tokens:    Inbound: UsernameToken, X.509 Token  Outbound: SAML 1.1 w/ Holder-of-Key and Bearer subject confirmation methods    To verify the incoming UsernameToken it would be ok to use a local file e.g. tomcat_users.xml and for the validation of the X509 Certificate it would be ok to use a local keystore. (.jks) which can be configured (location, user /pwd to access the store)      Target Runtime Environment: Tomcat 6  Optional: OSGi Container  Purpose: It is intended to be an Apache CXF Example implementation to demonstrate how the STS Frameweok service could be used",2
TESB-282,"SR: RTC: Specification of the effective policy format / XML and concrete policy definition for SAMLToken, UsernameToken, Authorization and Compression","Define the new agreed policy format (in detail) which we expect to be send / created by the SR in future. Also provide concrete definition how the policy document for Authentication (SAMLToken, UsernameToken )    Remark: the goal is to get a sclose a s possible to standard WS-Policy and the WS_Security Policy definitations.    Remark: Effectivew Policy is the new name we use in future but it is the same we had named as 'Agreed Policy' before. ",3
TESB-368,"New component: tESBProviderFault",NULL,3
TESB-369,"Develop additional TUJs for testing tESBConsumer components","More information about TUJs you can find here:    http://talendforge.org/wiki/doku.php?id=tests:automated_tests:design    Testing results are here:    http://www.talendforge.org/colibri/charts.php",5
TESB-475,"STS: Issue standard SAMLToken - SAML 2.0","As extention/alternative to TESB-281 we also like to issue SAML 2.0 Token on request to demo the new feature in CXF based on the updated WSS4J 1.6 version.    Implement the Issue operation of the STS Framework service to support the following Inbound/Outbound Tokens:    Inbound: UsernameToken, X.509 Token  Outbound: SAML 2.0 w/ Holder-of-Key and Bearer subject confirmation methods    To verify the incoming UsernameToken it would be ok to use a local file e.g. tomcat_users.xml and for the validation of the X509 Certificate it would be ok to use a local keystore. (.jks) which can be configured (location, user /pwd to access the store)      Target Runtime Environment: Tomcat 6  Optional: OSGi Container  Purpose: It is intended to be an Apache CXF Example implementation to demonstrate how the STS Frameweok service could be used and also to demonstrate the new SAML2.0 suppport on CXF based on the new WSS4J 1.6 Lib.",1
TESB-476,"RTC: Authentication Interceptor using STS Client","Implementation of Authentication Interceptor (actually the use of a STS Client to request a SAML Toke and set it in the SOAP Header using a custom part and make sure we not duplicate things already available in the  exsiting Authentication Interceptor) to request a SAML Token (by UsernameToken and/or X509 Certificate)     where the user has to provide a Username/Password for the Username Token  and   a X509 Certificate by the Authentication Callback Handler provided by TESB-154       Transfer the exsiting authentication callback handler to the Talend ESB to allow that a X509 Certificate can be provided to the SAML Token Request Interceptor defined in TESB-476  Also document how callbacks are handled in general for the Talend ESB product using the CXF Bus Context Properties",3
TESB-478,"SL: Integration of Provider Registration and Endpoint Lookup into CXF","Place the SL Provider Registration (CXF Provider side) and Endpoint Lookup (CXF Consumer side) in CXF. It is expeceted that this could be installed to a standard CXF Installation as a Talend ESB SL Feature.    Also the static failover feature which we currently use seems to not be sufficient. Needs to be clarified and most likely also changed.    Also concider and make sure that the feature works in our standard OSGi Container,     Additional:   We also need to finally discuss and aggree with PM if we should support JMS Endpoint at all and if yes if we should allow the Consumer (business user) to limit the endpoint which should be used for this consumer to a certain transport (currently http:/https: or jms:",3
TESB-481,"tESB Provider components should be compatible with tXMLMap","Scope of this backlog item:    * Correct the output and input flows of tESB* components to use Document instead of Strings  * Test that given structure works with tXMLMap  ",2
TESB-482,"Make sure tESB Component TUJs are successfully running",NULL,1
TESB-483,"Automatic update of the TOS SVN based on the results of ESB Tooling Hudson build",NULL,1
TESB-484,"Add a section in the GettingStarted Guide how to use authentication policies & STS","As a Developer I want to learn how to secure my services and clients and how to take advantage of the CXF STS.    Extend the Rent a Car demo to show how the service can be secured by the new Authenication Interceptor (STS Client) and the SAMl Tokens provided by the STS and the existing CXF Authentication Inteceptor.    Content      * What is an STS, what is the advantage of having an STS compared to have to configure everything locally on clients and services.  	* A diagram about the flow between client STS, and client provider what are artifacts that are exchanged.  	* Describe how to install and run the STS. If possible use the jetty maven plugin for this., Describe what has to be configured, e.g. keystore   	* Describe what has to be configured on the client side / service side and what the purpose is.  	* Decribe how to deploy and run the demo.  	* Describe how to uninstall the demo     Provide the necessary configuration files and extend the maven build to create artifacts usable for the demo.    For the tutorial use X509 Certs (best use the one already provided with the STS itself so it has not to be reconfigured. Server should return a SAML 2.0 token.    Note  Feature might involvet to male sure STS is really included in CXF 2.4 and to synchronize with Dan.    Acceptance Criteria  PO or other person with similar background must be able to get the demo running within 15 minutes.",3
TESB-485,"STS: Refactor existing STS Provider ","* Refactor the existing STS (from M0) to use org.apache. instead of or.talend (and move it so far in a private gitHub Repo)   * Start the ddiscussion baout the feature on CXF User/Dev List (sync with Dan)  * remove the implemenation for the Issue operation and implement/reuse it for the SAML 1.1/2.0 'Example Implementtions (also with org.apache. and also in the privat gitHub repo)     The goal is to contribute during the sprint or at least in March the STS Framework service to a CXF Jira (and then by a commiter to CXF)   and also to contribute the example implementation. ",2
TESB-486,"Refactor and simplify code produced by tESBProvider and tESBConsumer components",NULL,5
TESB-528,"Documented Example: Simple JAX-WS Consumer / Provider with STS (UsernameToken)","Provide a documented example with a running JAX-WS consumer / provider which uses the STS with a UsernameToken and could be build and installed with a maven. (similar to the TSF Documented Examples)",2
TESB-529,"Documented Examples: Enable the Rent-a-Car service to use the Service Locator","Documented Examples: Enable the Rent-a-Car service to use the Service Locator so just provide a how to documentation what need to be changed on the base Rent-a-Car deployment to use the Service Lcator feature with the Rent-a-Car example. ",3
TESB-756,"Make Talend ESB Runtime release ready","As a product owner I need to make sure we fulfill all legal obligations and have a reproducible build.    * Add coypright headers to all sources  * Write license file (see TSF and TIF)  * Write Notice file  (see TSF and TIF)  * Write Readme  * List of required third-party libraries and corresponding licences (not part of the project)     Clean up of Maven  * define all plugins used in the build in the root pom and make sure they all have version numbers  * For third-party dependencies define version numbers in the root pom (in the dependency management section)    ",3
TESB-762,"Contribute STS provider & sample implementation to CXF","The STS components we built shall be part of the CXF 2.4.0 release, therefore we have to contribute it as soon as possible. We should initiate the discussion and incorporate as much change requests as possible.    - Initiate further discussion of patch  - Incorporate change requests from ,mailing list.    h3. Acceptance Criteria  * Attach patch with our STS contribution to https://issues.apache.org/jira/browse/CXF-1940  * Initiate further discussion of patch  * Add further patch that covers the more formal changes  ** Fulfill CXF checkstyle rules  ** Use CXF compliant log statements  ** Remove all printStacktrace and println statements   ",3
TESB-763,"Packaging of the project","As R&D team we need to provide two packages for the 4.0  release    One package contains the software, the other the samples and the documentation. Both packages need to be provided as zip and tar.gz.     a) Content of ""software"" package  * TSF 2.4 and TIF 2.6 (CXF, camel Equinox karaf, Active MQ)  * Monitoring Component  * Locator Component  * STS if not yet part of CXF    Structure  {noformat}  /  |--  | |-- bin (command line tools, wsdl2java, etc)  | |-- container (Equinox/Karaf container w/ start/stop scripts etc.)  | |-- docs  | | |-- api (CXF Javadoc)  | |-- etc (configurations)  | |-- lib (CXF/Camel jars)  | |-- lib-samples (jars required for samples, mainly for cxf)  | |-- licenses (license text files for non-Apache licensed stuff)  | |-- modules (CXF modules, should Camel components go here as well instead of lib?)  | |-- samples (CXF/Camel examples)  | |-- add-ons (subdirs for Locator, Monitoring, STS)  |-- LICENSE  |-- NOTICE  |-- README  {noformat}     b) Content of ""documentation"" package  * TSF & TIF samples  * Rent a Car demo  * locator & monitoring sample  * TSF Users Guide  * TIF Users Guide  * Getting Started + Locator Users Guide + installation guide service locator    Structure  {noformat}  /  |--  | |-- docs (User Guides, Getting started, installation guide)  |--    |-- examples (TSF, TIF samples, Rent a Car demo, locator sample, monitoring sample)  {noformat}    - Overall take TSF and TIF packages as blue print  - Release build must use Nexus repository (not maven central)  ",3
TESB-764,"Getting Started Guide for Talend ESB","As a Developer I want to learn the purpose of the Rent a Car Demo and how to run it.    - Intro / Overview  what to expect of this guide  - Small architectural scetch (taken from swordfish demo?), what does the user learn about Talend ESB / CXF  - How to compile the demo and deploy it into the OSGi container  - How to run it. What does the user see / can do  if everything works as expected    Copy / Paste as much as possible from Swordfish demo  Outcome should be in DocBook format      h3. Acceptance Criteria    The PO or some other person with developer skills is able to get the demo running with the help of the guide.",3
TESB-766,"User Guide Service Locator","As a Developer I want to learn how to enable the Service Locator Component for the Rent a Car demo.    - Purpose of ServiceLocator   - What to additionaly deploy  - Where to configure the additional feature  - Where to learn how to install the locator server  - How to run, what should the developer see.    Outcome should be in DocBook format",2
TESB-780,"Build for Talend ESB Studio",NULL,1
TESB-799,"Support one-way communication styles in the compponents",NULL,5
TESB-839,"NPE in generated code for provider TOS job","I was able to generate a job that is constantly producing an NPE inside the generated code.     Exported job is in attachment.    Tested on 4.2.0M4    Stacktrace:  {code}  web service [endpoint: http://127.0.0.1:8088/esb/provider] published  Mar 8, 2011 2:01:44 PM org.apache.cxf.phase.PhaseInterceptorChain doDefaultLogging  WARNING: Application {http://talend.org/esb/service/job}SimpleWebService#{http://talend.org/esb/service/job}invoke has thrown exception, unwinding now  org.apache.cxf.interceptor.Fault    org.apache.cxf.service.invoker.AbstractInvoker.createFault(AbstractInvoker.java:155)    org.apache.cxf.jaxws.AbstractJAXWSMethodInvoker.createFault(AbstractJAXWSMethodInvoker.java:86)    org.apache.cxf.service.invoker.AbstractInvoker.invoke(AbstractInvoker.java:121)    org.apache.cxf.jaxws.JAXWSMethodInvoker.invoke(JAXWSMethodInvoker.java:60)    org.apache.cxf.service.invoker.AbstractInvoker.invoke(AbstractInvoker.java:75)    org.apache.cxf.interceptor.ServiceInvokerInterceptor$1.run(ServiceInvokerInterceptor.java:58)    java.util.concurrent.Executors$RunnableAdapter.call(Executors.java:441)    java.util.concurrent.FutureTask$Sync.innerRun(FutureTask.java:303)    java.util.concurrent.FutureTask.run(FutureTask.java:138)    org.apache.cxf.workqueue.SynchronousExecutor.execute(SynchronousExecutor.java:37)    org.apache.cxf.interceptor.ServiceInvokerInterceptor.handleMessage(ServiceInvokerInterceptor.java:106)    org.apache.cxf.phase.PhaseInterceptorChain.doIntercept(PhaseInterceptorChain.java:255)    org.apache.cxf.transport.ChainInitiationObserver.onMessage(ChainInitiationObserver.java:113)    org.apache.cxf.transport.http_jetty.JettyHTTPDestination.serviceRequest(JettyHTTPDestination.java:311)    org.apache.cxf.transport.http_jetty.JettyHTTPDestination.doService(JettyHTTPDestination.java:280)    org.apache.cxf.transport.http_jetty.JettyHTTPHandler.handle(JettyHTTPHandler.java:72)    org.eclipse.jetty.server.handler.ContextHandler.doHandle(ContextHandler.java:922)    org.eclipse.jetty.server.handler.ContextHandler.doScope(ContextHandler.java:860)    org.eclipse.jetty.server.handler.ScopedHandler.handle(ScopedHandler.java:117)    org.eclipse.jetty.server.handler.ContextHandlerCollection.handle(ContextHandlerCollection.java:247)    org.eclipse.jetty.server.handler.HandlerWrapper.handle(HandlerWrapper.java:114)    org.eclipse.jetty.server.Server.handle(Server.java:352)    org.eclipse.jetty.server.HttpConnection.handleRequest(HttpConnection.java:596)    org.eclipse.jetty.server.HttpConnection$RequestHandler.content(HttpConnection.java:1066)    org.eclipse.jetty.http.HttpParser.parseNext(HttpParser.java:805)    org.eclipse.jetty.http.HttpParser.parseAvailable(HttpParser.java:218)    org.eclipse.jetty.server.HttpConnection.handle(HttpConnection.java:426)    org.eclipse.jetty.io.nio.SelectChannelEndPoint.handle(SelectChannelEndPoint.java:510)    org.eclipse.jetty.io.nio.SelectChannelEndPoint.access$000(SelectChannelEndPoint.java:34)    org.eclipse.jetty.io.nio.SelectChannelEndPoint$1.run(SelectChannelEndPoint.java:40)    org.eclipse.jetty.util.thread.QueuedThreadPool$2.run(QueuedThreadPool.java:450)    java.lang.Thread.run(Thread.java:680)  Caused by: java.lang.NullPointerException    org.dom4j.io.DocumentInputSource.<init>(DocumentInputSource.java:37)    org.dom4j.io.DocumentSource.setDocument(DocumentSource.java:80)    org.dom4j.io.DocumentSource.<init>(DocumentSource.java:57)    test.simplewebservice_0_1.SimpleWebService$1ESBProvider_tESBProviderRequest_1.invoke(SimpleWebService.java:747)    test.simplewebservice_0_1.SimpleWebService$1ESBProvider_tESBProviderRequest_1.invoke(SimpleWebService.java:1)    sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)    sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:39)    sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:25)    java.lang.reflect.Method.invoke(Method.java:597)    org.apache.cxf.service.invoker.AbstractInvoker.performInvocation(AbstractInvoker.java:173)    org.apache.cxf.service.invoker.AbstractInvoker.invoke(AbstractInvoker.java:89)  	... 29 more  Job SimpleWebService ended at 14:01 08/03/2011. [exit code=0]  {code}",1
TESB-875,"Project name should be also used for Service ID (QName) generation","For generated jobs that are created with tESBProvider components, service ID (QName) in the generated WSDL should not only depend on the job name but also include a project name.",1
TESB-891,"Deliver tESB components and associated libraries inside the Eclipse Plugin",NULL,3
TESB-1017,"Error with lock on mysql tables when persisting events","When an event is written the code first gets the next event id from a sequence. In mysql this causes a hang which after some time results in a timeout getting locks.     The workaround was to remove the @Transactional annotation on the writeEvent method in EventRepositoryImpl. We should solve the problem to be able to use transactions again.",3
TESB-1049,"Improve building of the Rent a Car Demo for different scenarios","As a developer I want to be able to compile the Rent a Car demo for different scenarios (locator, monitoring, sts, ....) without having to change the config files.    Today only the basic Rent a Car demo can be compiled out of the box. To compile more compley samples, such as the locator sample, the user has first to change the spring configurations of most of the Rent a Car projects before he can recompile it. Worse, if he compiled another scenario before, he has first to remove the specific configuration of the scenario before.    Therefore enable the build to provide a way via maven profiles to compile the different scenarios without having to change source code or configuration. Without specifying a profile the the basic demo should be built, specifying a profile ""locator"" should build the locator enabled demo.    - The build system must be prepared to include further profiles for additional scenarios  - The jars created by different profiles must get scenario specific names, e.g. crmservice-service-locaor-4.0.jar    h4. Acceptance Criteria  I must be possible to first compile the basic Rent a Car demo with one maven command, then without changing anything to compile with a second maven command the Rent a Car locator enabled sample.",2
TESB-1050,"Improve the Getting Started Guide","As a Developer I want to have a demo that is easy to follow and where the likelihood of success is very high.    - Incorporate Glenns DocBook improvements  - Work on PO's review remarks.    See attachments for details    h4. Some Highlights  * Compile of Rent a Car demo must possible in one step  * Deploy sample to Karaf by using feature descriptions and not copying each jar into the deploy dir  * Distribute sample to at least two containers  * Make locator sample more realistic by having several instances of the services.  * Describe how to enable the sample in Eclipse     h4. Acceptance Criteria  PO or other person with similar background must be able to get each demo running within 10 minutes.",3
TESB-1051,"Build and test the package with the latest Camel and CXF versions","We will release Talend ESB 4.0 with Camel 2.7.0 and CXF 2.4.0.. We should therefore upgrade the build to use Camel 2.7.0 and CXF 2.4.0 snapshot (2.4. is not yet released). To be able to fix things in CXF if necessary we should test  our additional components and samples with latest CXF snapshot.    - Test our additional components, service locator, sam, and integration with sts.  - Execute all our samples, especially the Rent a Car demo.  - Execute 2-3 examples of tsf and tif  - Protocol all the tests",2
TESB-1052,"Improvements for the release packages","a) talend-esb-4.0.tar.gz  README.txt  * Introduction is getting a bit long (obviously it is the union of the tsf + tif intro), but misses to really talk about Talend ESB  * In the main section Camel is missing, also the additional TESB components (locator + sam) should get described    b) talend-esb-4.0-doc.tar.gz  Add a pom file in the example directory that is just an umbrella to build all samples.",2
TESB-1053,"Make sure our delivery is compliant with legal requirements","For our delivery we should make sure we have  * License file with the license of the package we deliver.  * All licenses for all 3rd party libraries we deliver with our package  * All of 3rd party libraries listed in *notice.txt* file together with the license name and location on where to find source. Please see any SOPERA delivery we did for the last 5 years for the example.  ",1
TESB-1054,"Generated JOB class should have ESB-specific methods",NULL,3
TESB-1055,"Prepare contents for tESB Components Documentation","Prepare documentation content for Technical Writer.",3
TESB-1227,"[Service Locator] Handling of connectionTimeout and sessionTimeout properties in client spring configuration","Invalid values are not rejected by exception  Valid value are not used - defaults are used instead",2
TESB-1233,"Make tESB Provider and Consumer components compatible to new ESB API","As a Talend Job Developer I would like to deploy Talend Jobs in OSGi container (Talend ESB) so that I could use other ESB services at runtime.",3
TESB-1234,"Make sure tESB Consumer Component are working in TOS","* As a Talend Job Developer I would like to use tESB Consumer Component in my Jobs with TOS so that my jobs would reuse other (web) services.  * As a Talend Enterprise Job Developer I would like to use tESBConsumer Component in my Jobs with TIS using TIS Metadata repository, so that I could reuse same metadata in multiple Jobs.  ",2
TESB-1235,"GWT knowhow acquisition","We are going to use GWT + Ext GWT for Talend Web GUIs",3
TESB-1276,"Getting Started Guide references STS documentation, but it's not included in the package","The Getting Started Guide (p. 29) refers to  a ""CXF STS server Installation and Configuration Manual"" for instructions on how to setup an STS, but this document is not included in the package.    Either     a) include the documentaion in the package or   b) insert the steps required to get the STS set up and running into the Getting Started Guide (preferable).    ",1
TESB-1303,"Shell scripts to run service locator / zookeeper are not executable under Linux / Mac OS X","The shell scripts to run the service locator (aka zookeeper) that can be found under zookeeper/bin are not execuatble. Make them executable for all.",1
TESB-1305,"In the 'add-ons' directory,  'Locator' and 'Monitoring' should have a lower case first letter.","All othe directories are in lower case. To avoid confusion also these two directories should follow the convention.     Hint: Don't forget to also update the naming inscripts referencing the directories.  ",1
TESB-1306,"Rent a Car related directories are intermingled with the other examples","At the moment it is not clear which directories under examples belong to the Rent a Car demo and which are examples of their own. Also at temoment it is not possible to build all examples with one maven command.    Create under examples a directory rent_a_car directory and move all directories related to the Rent a Car Demo und the new directory. Create a maven pom file in examples/rent_a_car that builds the different tutorials. Update the Getting started guide accordingly.  Change examples/pom.xml to build all examples including rent a Car.",2
TESB-1311,"The STS based Rent a Car Tutorial does not work if running Karaf container is located next to examples directory","CRMService has the wsdlLocation '../examples/tesb/crmservice/common/src/main/resources/model/CRMService-sts.wsd'. If examples directory of package is not sibling of runtime container the demo breaks. For the actual stacktrace see attachment.",1
TESB-1312,"Builds for examples/sam and examples/locator fail because TESB jars missing in maven central","Maven when building the examples/sam and examples/locator assumes the TESB jars sam-agent-4.0.jar, sam-common-4.0.jar, and locator-4.0.jar in the maven repository. If you do not build the whole TESB project from scratch you normally don't have them in your maven repository.",2
TESB-1323,"compile of the samples with maven is failed","compile of the samples with maven is failed.  Just go to the talend-esb-4.0\examples\ and execute: mvn clean install  In result:  ...  [INFO] SOAP/JMS Transport Specification Example Service .. FAILURE [27.682s]  ...  [ERROR] Failed to execute goal on project jms-spec-server: Could not resolve dep  endencies for project com.talend.sf.examples.jaxws-jms-spec:jms-spec-server:bund  le:1.0: Could not find artifact org.apache.cxf:cxf-rt-transports-jms:jar:2.4.0-S  NAPSHOT -> [Help 1]  [ERROR]  ...  and build is failed.    build log in attach      P.S. the same error with   mvn clean install -Psnapshots",1
TESB-1332,"Getting Started Guide is missing information how to see sam events in database","Chapter 8.5 in the Getting Started Guide claims to describe how to see the sam events in the database, but important information is missing.  Information missing:  - jdbc url of the event database  - user name and password.  - short overview what the contents of the table is (or at least a reference)",1
TESB-1333,"Getting Started Guide is missing description of configuration changes to be done for locator, sam, and sts  examples.","The  Getting Started Guide describes how to build the different examples, but does not describe what the configuration steps are a user would need to do manually to get the features enabled.  The guide should at least describe the necessary changes needed in the spring configurations to enable the different features.  ",1
TESB-1334,"In the STS based tutorial not only the CRMService should be secured, but also the ReservationService","Extend the demo to also secure the requests to the ReservationService likr for the CRMService.",1
TESB-1335,"Encryption in the STS based Rent a Car demo makes the scenario more complex than necessary.",NULL,1
TESB-1336,"Locator example is missing a README file",NULL,1
